2022년 6월 재무과 업무추진비 집행내역,,,,,,,,,
,,,,,,,,,(단위:명/원)
연번,비목,사용자,집행일자,집 행 목 적,인원,장소, 집행금액 ,집행방법,비고
1,시책,과장,06.02.(목) 11:40,"구유재산의 관리 관련
관계자 간담회",2,수락이오냉면,"16,000 ",신용카드,
2,시책,과장,06.03.(금) 12:21,"세입세출 결산 관련
관계자 간담회",4,지호한방삼계탕,"51,000 ",신용카드,
3,시책,과장,06.07.(화) 12:10,"재무회계결산 관련
관계자 간담회",3,어향,"23,000 ",신용카드,
4,시책,과장,06.08.(수) 12:30,"세입세출 결산 관련
관계자 간담회",5,향촌,"57,000 ",신용카드,
5,시책,과장,06.09.(목) 19:44,"구유재산의 관리 관련
관계자 간담회",3,명가통닭,"24,500 ",신용카드,
6,시책,과장,06.13.(월) 12:16,"재무회계결산 관련
관계자 간담회",5,도쿄감자탕,"40,000 ",신용카드,
7,시책,과장,06.14.(화) 12:20,"구유재산의 관리 관련
관계자 간담회",4,가마봉생고기,"33,000 ",신용카드,
8,시책,과장,06.15.(수) 12:15,"세입세출 결산 관련
관계자 간담회",4,쌈촌구이샤브,"40,000 ",신용카드,
9,시책,과장,06.16.(목) 20:07,"세입세출 결산 관련
관계자 간담회",4,광동신대구탕뽈테기,"75,000 ",신용카드,
10,시책,과장,06.20.(월) 13:45,"구유재산의 관리 관련
관계자 간담회",4,24시금강산흑염소,"38,000 ",신용카드,
11,시책,과장,06.20.(월) 19:16,"계약 및 물품관리 관련
관계자 간담회",4,신의주찹쌀순대,"32,000 ",신용카드,
12,시책,과장,06.21.(화) 12:18,"구유재산의 관리 관련
관계자 간담회",4,남원추어탕,"40,000 ",신용카드,
13,시책,과장,06.22.(수) 12:53,"지출회계 관리 관련
관계자 간담회",2,홍두깨손칼국수,"18,000 ",신용카드,
14,시책,과장,06.23.(목) 12:13,"계약 및 물품관리 관련
관계자 간담회",4,최가네양평해장국,"32,000 ",신용카드,
15,시책,과장,06.24.(금) 11:51,"구유재산의 관리 관련
관계자 간담회",4,모들랑국수,"44,000 ",신용카드,
16,시책,과장,06.27.(월) 12:16,"계약 및 물품관리 관련
관계자 간담회",4,황제해물짬뽕,"35,000 ",신용카드,
17,시책,과장,06.27.(월) 20:25,"구유재산의 관리 관련
관계자 간담회",6,홍천강민물매운탕,"102,000 ",신용카드,
18,시책,과장,06.28.(화) 12:16,"세입세출 결산 관련
관계자 간담회",5,서원손칼국수,"56,000 ",신용카드,
19,시책,과장,06.29.(수) 12:05,"지출회계 관리 관련
관계자 간담회",5,최가네양평해장국,"42,000 ",신용카드,
