일시,장소,"대상
인원수",금액
"2022-01-04
13:17","경북칼국수
(동대문구왕산로41길4)",3,"23,000"
"2022-01-04
20:43","찜마을
(동대문구왕산로28길37)",3,"34,000"
"2022-01-05
13:22","가도
(동대문구왕산로28길35)",4,"70,000"
"2022-01-06
13:16","윤가네
(동대문구청량리동769-1)",2,"23,000"
"2022-01-07
12:18","김밥앤국시
(동대문구천호대로25길81)",2,"16,000"
"2022-01-07
20:19","남원추어탕
(동대문구고산자로28길25-1)",4,"34,000"
"2022-01-10
13:18","마루샤브 용두직영점
(동대문구왕산로61)",4,"43,600"
"2022-01-13
20:42","산천가든
(동대문구왕산로32길96)",3,"43,000"
"2022-01-14
12:44","평양냉면
(왕산로29길4)",4,"31,000"
"2022-01-18
20:25","중국성
(동대문구고산자로30길23)",4,"58,000"
"2022-01-19
20:34","찜마을
(동대문구왕산로28길37)",4,"31,000"
"2022-01-20
12:46","경북칼국수
(동대문구왕산로41길4)",4,"28,000"
"2022-01-21
12:55","고향집
(동대문구왕산로32길80)",4,"26,000"
"2022-01-24
12:30","산천가든
(동대문구왕산로32길96)",6,"120,00
0"
"2022-01-24
12:32","봉평메밀국수
(동대문구왕산로177-3)",2,"19,000"
"2022-01-25
20:51","잇주
(동대문구왕산로28길55)",3,"32,900"
"2022-01-26
13:18","나주곰탕 나주전
(동대문구고산자로428)",2,"18,000"
"2022-01-27
20:38","고향집
(동대문구왕산로32길80)",3,"38,000"
"2022-01-28
12:48","화로촌
(동대문구고산자로391-8)",6,"86,000"
"2022-01-31
13:42","경성농장
(동대문구왕산로28길19)",2,"22,000"
"2022-02-03
20:37","홍가네
(동대문구고산자로34길5)",2,"24,000"
"2022-02-04
12:12","반달식당
(동대문구천호대로27길71)",4,"46,000"
"2022-02-04
20:38","중국성
(동대문구고산자로30길23)",4,"58,000"
"2022-02-07
21:00","고향집
(동대문구왕산로32길80)",3,"38,000"
"2022-02-08
12:32","혜성칼국수
(동대문구청량리동50-18)",2,"18,000"
"2022-02-08
13:03","화로촌
(동대문구고산자로391-8)",6,"120,000"
"2022-02-08
20:46","가도
(동대문구왕산로28길35)",4,"100,000"
2022-02-09 16:41,홈플러스(동대문구천호대로133),10,"45,100"
2022-02-10 12:42,최강낙지(동대문구고산자로28길21),4,"74,000"
2022-02-10 20:19,갯벌쭈꾸미(동대문구천호대로27길71),4,"79,000"
2022-02-11 12:10,반달식당(동대문구천호대로27길71),4,"66,000"
2022-02-14 11:08,본도시락(시립대점)(동대문구전농로209),6,"60,000"
2022-02-14 20:38,미강(동대문구천호대로2762),4,"49,000"
2022-02-15 12:20,"송정초밥(동대문구천호대로126,101호)",6,"116,000"
2022-02-15 12:58,"김밥앤국시
(동대문구천호대로25길81)",6,"76,500"
"2022-02-15
20:50","경성농장
(동대문구왕산로28길19)",6,"119,000"
"2022-02-16
20:06","나주곰탕 나주전
(동대문구고산자로428)",2,"35,000"
"2022-02-18
12:24","청마루
(동대문구왕산로28길15)",3,"36,000"
"2022-02-18
20:24","남원추어탕
(동대문구고산자로28길25-
1)",4,"34,000"
"2022-02-24
20:39","가도
(동대문구왕산로28길35)",4,"90,000"
"2022-02-25
11:52","최강낙지
(동대문구고산자로28길21
지하1층)",6,"130,000"
"2022-02-25
12:12","남원추어탕
(동대문구고산자로28길25-
1,1층)",6,"48,000"
"2022-02-25
12:35","포420
(동대문구왕산로32길96)",4,"47,000"
"2022-03-02
19:15","경성농장
(동대문구왕산로28길19)",6,"127,000"
"2022-03-07
13:14","전주콩나물국밥
(동대문구고산자로397)",3,"29,000"
"2022-03-07
20:37","수내닭꼬치
(동대문구고산자로34가길34)",4,"69,000"
"2022-03-08
12:48","어머니 대성집
(동대문구왕산로11길4)",4,"32,000"
"2022-03-08
20:36","빈대떡신사
(동대문구고산자로30길22)",3,"31,000"
"2022-03-10
12:26","경북칼국수
(동대문구왕산로41길4)",4,"32,000"
"2022-03-11
12:20","봉평메밀국수
(동대문구왕산로177-3)",3,"19,500"
"2022-03-11
12:57","송정초밥
(동대문구천호대로126,101호)",6,"120,000"
"2022-03-11
14:22","매일유통
(전농로4길30)",6,"65,000"
"2022-03-11
20:18","중국성
(동대문구고산자로30길23)",4,"41,000"
"2022-03-14
20:29","왕순대
(동대문구고산자로426)",4,"34,000"
"2022-03-15
20:43","송학삼계탕
(동대문구왕산로35길6)",2,"39,000"
