사용일자,가맹점,집행액,대상인원
2022-01-28,본초강목,"50,000",5
2022-01-25,신천생태전문점,"36,000",4
2022-01-20,더스페이스,"28,700",5
2022-01-14,신천생태전문점,"27,000",3
2022-01-13,스시백,"46,000",4
2022-01-12,사이공핫팟,"45,000",4
2022-01-12,풀무원푸드앤컬처 강남구청,"17,000",11
2022-01-11,아이수마,"115,000",4
2022-01-11,청담반점,"54,000",4
2022-01-06,꽃보다황태,"44,000",4
2022-01-05,마왕족발,"70,000",4
2022-01-05,청담반점,"50,000",4
2022-01-04,사이공핫팟,"49,000",4
2022-01-03,벽제갈비(청담),"66,000",4
2022-02-28,피양옥,"129,000",6
2022-02-25,투데이,"124,700",6
2022-02-24,폴바셋청담역점,"26,100",6
2022-02-23,청라,"125,000",6
2022-02-23,아쯔마로,"48,000",4
2022-02-22,주식회사 능라도,"108,000",5
2022-02-21,신천생태전문점,"48,000",4
2022-02-21,사이공핫팟,"86,500",6
2022-02-15,스시백,"33,000",3
2022-02-10,영천영화청담점,"90,000",9
2022-02-09,지밀(zimil),"60,000",6
2022-02-07,카페 린,"21,000",6
2022-02-07,신천생태전문점,"60,000",6
2022-02-04,대화중화요리,"40,000",4
2022-02-03,설가츠 강남구청점,"89,200",8
2022-03-31,요거트맨강남구청점,"39,000",8
2022-03-31,풀무원푸드앤컬처 강남구청,"17,600",8
2022-03-28,풀무원푸드앤컬처 강남구청,"7,000",4
2022-03-28,청담영양센터,"68,000",6
2022-03-25,토담골,"60,000",4
2022-03-24,모어덴스시,"72,000",6
2022-03-23,돈블랑,"155,000",6
2022-03-23,사이공핫팟,"44,500",4
2022-03-22,팁스스퀘어유캔스타트,"19,500",4
2022-03-22,대림옥,"26,000",2
2022-03-21,풀무원푸드앤컬처 강남구청,"17,500",6
2022-03-18,진성식당,"46,000",4
2022-03-15,종로화덕,"145,000",6
2022-03-14,본초강목,"46,000",4
2022-03-11,피자스쿨에이플러스청담점,"51,500",4
2022-03-10,지호한방삼계탕,"69,000",4
2022-03-07,먹어도,"142,000",6
2022-03-07,카페로스터제임스,"41,400",5
2022-03-04,모어덴스시,"42,000",3
2022-03-03,스시백,"91,000",6
2022-03-02,미소야 강남구청점,"150,000",6
2022-04-28,토담골49번지,"60,000",4
2022-04-21,청국장과보리밥 청담점,"76,000",4
2022-04-21,CCOMA1,"21,000",4
2022-04-21,스타벅스 강남구청정문점,"11,400",2
2022-04-21,스타벅스 강남구청정문점,"18,500",4
2022-04-20,카페싸이공,"44,000",3
2022-04-19,주식회사 먹어도,"150,000",8
2022-04-18,블레스 블룸,"75,000",6
2022-04-14,(주)아워홈 강남구청점,"17,500",10
2022-04-13,교촌치킨청담역점,"89,000",6
2022-04-13,모어덴스시,"80,000",4
2022-04-12,청담수,"64,000",4
2022-04-06,알리스와 이나이스,"26,600",6
2022-04-06,설가츠,"98,100",8
2022-04-01,(주)차이린,"74,000",6
2022-04-01,풀무원푸드앤컬처 강남구청,"17,600",8
2022-05-30,명륜진사갈비 강남구청점,"92,000",4
