업무추진비 집행내역 공개,,,,,,,,
(시책추진업무추진비),,,,,,,,
민원감사담당관,(단위 : 원),,,,,,,
"연
번",사용자,일시,장소,,집행목적,"대상
인원수",금액,결제방법
계,,,총 15건,,,,"2,127,500",
1,"민원감사
담당관","7. 1.(금)
19:58","삼은식당
(금천구 독산동 293-29)","주민참여 감사 활성화
간담회",,4,"79,000",신용카드
2,"감사팀
주무관","7. 5.(화)
12:33","올래밥상
(금천구 시흥대로 291)",,"청렴도 향상 시책 
간담회",6,"56,000",제로페이
3,"심사평가팀
주무관","7. 8. (금)
12:29","무교동낙지샤브칼국수
(금천구 시흥대로 198)","주요성과평가 추진 
관련 간담회",,5,"96,000",제로페이
4,"통합민원
지원센터팀
주무관","7. 8.(금)
12:38","한방삼계명가
(금천구 시흥대로63길 8)","구민 민원만족도 제고
관련 간담회",,6,"84,000",제로페이
5,"통합민원
지원센터팀
주무관","7. 11.(월)
12:39","차림인
(금천구 가산디지털1로 13)","기업지원센터 전문가
무료상담실 운영 간담회",,6,"180,000",제로페이
6,"감사팀
주무관","7. 11.(월)
19:39","본가집가마솥설렁탕
(금천구 시흥대로 269)","주민참여 감사 활성화
간담회",,10,"237,000",제로페이
7,"조사팀
주무관","7. 13.(수)
11:57","시골보쌈
(금천구 시흥대로63길 33)","공직자 재산등록 심의
관련 관계자 간담회",,7,"56,000",제로페이
8,"감사팀
주무관","7. 15.(금)
12:35","채선당
(금천구 시흥대로 277)",,"청렴도 향상 시책 
간담회",6,"91,400",신용카드
9,"조사팀
주무관","7. 19.(화)
21:01","맛쟁이해물아구찜
(금천구 금하로 642)",,"조사업무 관련
업무협의 간담회",9,"251,000",제로페이
10,"감사팀
주무관","7. 22.(금)
11:24","종가집양반김밥
(금천구 벚꽃로30)","주민참여 감사 활성화
간담회",,2,"17,500",신용카드
11,"심사평가팀
주무관","7. 28.(목)
12:16","이레향
(경기 광명시 밤일안로181)",계,약심사 관련 간담회,4,"115,000",신용카드
12,"감사팀
주무관","7. 28.(목)
18:33","채선당
(금천구 시흥대로 277)",,"청렴도 향상 시책 
간담회",3,"50,600",신용카드
13,"감사팀
주무관","7. 28.(목)
18:32","채선당
(금천구 시흥대로 277)","주민참여 감사 활성화
간담회",,29,"710,000",신용카드
14,"감사팀
주무관","7. 29.(금)
12:19","카오룽
(금천구 시흥대로 291)",,"청렴도 향상 시책 
간담회",4,"56,000",신용카드
15,"조사팀
주무관","7. 29.(금)
12:02","유월식당
(금천구 시흥대로 291)","도시안전 환경순찰활동 
관련 간담회",,6,"48,000",제로페이
