업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 15건,,,"982,600",
1,"민원감사
담당관","10. 06.(목)
20:02","삼은식당
(금천구 독산동 293-29)",청렴도 향상 시책 간담회,3,"107,000",신용카드
2,"민원감사
담당관","10. 11.(화)
20:08","마쯔일식
(금천구 시흥대로 414)",청렴도 향상 시책 간담회,5,"164,000",신용카드
3,"인권조사팀
주무관","10. 13.(목)
18:24","파리바게뜨
(금천구 시흥대로 63길 91)","2022년 금천구 주민 인권
배움터 운영 간담회",3,"19,200",제로페이
4,"열린민원팀
주무관","10. 14.(금)
12:16","본가부대찌개양푼갈비
(경기 광명시 하안로 112)","구민 민원만족도 제고
관련 간담회 개최",4,"44,000",신용카드
5,"감사팀
주무관","10. 15.(토)
12:55","파리바게뜨
(금천구 시흥동 113-77)",청렴도 향상 시책 간담회,4,"34,500",신용카드
6,"감사팀
주무관","10. 15.(토)
14:31","메가커피
(금천구 벚꽃로 40)",청렴도 향상 시책 간담회,4,"14,900",신용카드
7,"감사팀
주무관","10. 16.(일)
10:40","파리바게뜨
(금천구 시흥동 113-77)",청렴도 향상 시책 간담회,6,"24,000",신용카드
8,"인권조사팀
주무관","10. 17.(월)
12:10","구구함박
(금천구 시흥대로 291)","금천하모니축제 부스 운영
평가 간담회",5,"51,000",제로페이
9,"현장구청장실
주무관","10. 19.(수)
12:37","신원휘생태탕
(금천구 삼성산길3)","전문가 무료 상담 만족도
제고 관련 간담회 개최",7,"91,000",제로페이
10,"현장구청장실
주무관","10. 21.(금)
12:14","이화순대국
(금천구 시흥대로237-12)","도시안전 환경순찰활동
관련 간담회",6,"51,000",제로페이
11,"감사팀
주무관","10. 21.(금)
12:30","스타벅스
(금천구 시흥대로73길 67)",청렴도 향상 시책 간담회,8,"60,500",신용카드
12,"감사팀
주무관","10. 27.(목)
12:08","두더커피
(금천구 시흥대로 315)",계약심사 관련 간담회,4,"20,000",신용카드
13,"민원감사
담당관","10. 27.(목)
12:10","광양불고기2호점
(금천구 독산로 357)",청렴도 향상 시책 간담회,6,"199,000",신용카드
14,"인권조사팀
주무관","10. 27.(목)
18:04","우리동네청년초밥
(금천구 시흥대로315)","2022년 금천구 주민 인권
배움터 운영",4,"39,600",제로페이
15,"열린민원팀
주무관","10. 28.(금)
12:27","홍익돈까스
(경기 광명시 밤일안로 19)","구민 민원만족도 제고
관련 간담회",4,"62,900",신용카드
