업무추진비 집행내역 공개,,,,,,,,
(시책추진업무추진비),,,,,,,,
민원감사담당관,(단위 : 원),,,,,,,
"연
번",사용자,일시,장소,,집행목적,"대상
인원수",금액,결제방법
계,,,총 12건,,,,"1,325,500",
1,"감사팀
주무관","8. 1.(월)
12:12","유월식당
(금천구 시흥대로 291)",,"청렴도 향상 시책 
간담회",4,"32,000",신용카드
2,"감사팀
주무관","8. 3.(수)
12:06","수라냉면
(금천구 금하로 633-1)",,"청렴도 향상 시책 
간담회",5,"43,500",신용카드
3,"심사평가팀
주무관","8. 11.(목)
12:16","강강술래 시흥점
(금천구 시흥대로 193)",계,약심사 관련 간담회,5,"130,000",제로페이
4,"민원감사
담당관","8. 10.(수)
21:13","제주살림
(금천구 시흥대로63길 21)",,"청렴도 향상 시책 
간담회",4,"101,000",신용카드
5,"조사팀
주무관","8. 12.(금)
12:10","유월식당
(금천구 시흥대로 291)","공직자 재산신고 심의
관련 간담회",,6,"48,000",제로페이
6,"열린민원팀
주무관","8. 17.(수)
21:27","소명생고기
(금천구 시흥대로 264)","구민 민원만족도 제고
관련 간담회",,9,"250,000",제로페이
7,"열린민원팀
주무관","8. 18.(목)
12:34","이화순대국
(금천구 시흥대로 237-12)","구민 민원만족도 제고
관련 간담회",,9,"79,000",제로페이
8,"현장구청장실
주무관","8. 23.(화)
12:32","돼지집
(경기 광명시 소하동 1369-2)",,"전문가 무료 상담 
만족도 제고 관련 
간담회",8,"92,000",신용카드
9,"열린민원팀
주무관","8. 25.(목)
12:38","차이나 소원
(금천구 시흥대로73길 67)","구민 민원만족도 제고
관련 간담회 개최",,3,"36,000",제로페이
10,"인권조사팀
주무관","8. 25.(목)
20:43","암소한마리
(금천구 시흥대로 371)","인권보호 활동 활성화
간담회",,10,"359,000",제로페이
11,"열린민원팀
주무관","8. 26.(금)
12:05","본가집가마솥설렁탕
(금천구 시흥대로 269)","구민 민원만족도 제고
관련 간담회 개최",,7,"136,000",제로페이
12,"열린민원팀
주무관","8. 26.(금)
12:13","함께그린카페
금나래문화체육센터점
(금천구 시흥대로79길 32)","구민 민원만족도 제고
관련 간담회 개최",,7,"19,000",제로페이
