업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 23건,,,"2,510,280",
1,"인권조사팀
주무관","12. 2.(금)
15:58","롯데마트금천점
(금천구 시흥대로291)","2022년 금천구
인권위원회 진행",13,"29,860",제로페이
2,"인권조사팀
주무관","12. 5.(월)
12:08","동흥관
(금천구 시흥대로63길 20)","2022년 금천구
인권위원회 간담회",13,"202,000",제로페이
3,"열린민원팀
주무관","12. 9.(금)
12:43","비스트로딤섬
(금천구 시흥대로 291)","구민 민원만족도 제고
관련 간담회",3,"44,000",제로페이
4,"민원감사
담당관","12. 9.(금)
20:27","탐나종합어시장
(금천구 가산로 156)",청렴도 향상 시책 간담회,4,"113,000",신용카드
5,"열린민원팀
주무관","12. 13.(화)
12:45","분짜하노이
(금천구 시흥대로 291)","구민 민원만족도 제고
관련 간담회",4,"37,500",제로페이
6,"현장구청장실
주무관","12. 14.(수)
13:26","파리바게트
(금천구 시흥대로63길 91)","2022년 구민고충처리위원회
회의 다과 구매",10,"50,000",제로페이
7,"현장구청장실
주무관","12. 14.(수)
20:21","통영해물가
(금천구 벚꽃로 46길 1-5)","구민고충처리위원회 운영
관련 간담회",10,"250,000",제로페이
8,"감사팀
주무관","12. 15.(목)
12:25","불타는삼겹살
(금천구 시흥대로50길 11)",청렴도 향상 시책 간담회,4,"103,000",신용카드
9,"인권조사팀
주무관","12. 15.(목)
12:35","벨구스토
(금천구 시흥대로 315)",인권정책 협력 간담회,2,"10,920",제로페이
10,"열린민원팀
주무관","12. 15.(목)
20:23","금나래식당
(금천구 시흥대로 291)","구민 민원만족도 제고
관련 간담회",17,"260,000",제로페이
11,"감사팀
주무관","12. 16.(금)
12:13","속초코다리찜
(금천구 시흥동 119-1)",계약심사 관련 간담회,6,"81,000",신용카드
12,"열린민원팀
주무관","12. 19.(월)
16:20","스타벅스
(금천구 시흥대로73길 67)","구민 민원만족도 제고
관련 간담회",3,"60,000",신용카드
13,"인권조사팀
주무관","12. 20.(화)
12:30","불타는삼겹살
( 금천구 시흥대로50길 11)","조사업무 관련 업무협의
간담회",5,"100,000",신용카드
14,"감사팀
주무관","12. 20.(화)
12:24","카오룽
(금천구 시흥대로 291)","주민참여 감사 활성화
간담회",4,"64,000",신용카드
