2022년 7월 행정관리국 및 총무과 업무추진비 사용내역,,,,,,,
1. 2022년 업무추진비 사용현황,,,,,,,
가. 총괄,,,,,,,
(단위:원),,,,,,,
예산액(A),집행금액(B),잔액(A-B),집행률,비고,,,
"81,530,000","33,555,130","47,974,870",41.16%,,,,
나.월별 사용현황,,,,,,,
(단위:원),,,,,,,
구분,건수(건),집행금액,비고,,,,
계,253,"33,555,130",,,,,
1월,24,"2,101,200",,,,,
2월,27,"2,631,000",,,,,
3월,31,"3,698,240",,,,,
4월,40,"5,421,800",,,,,
5월,44,"6,657,060",,,,,
6월,43,"5,730,190",,,,,
7월,44,"7,315,640",,,,,
2. 유형별 사용현황,,,,,,,
,(단위:원),,,,,,
구분,주요정책 추진관련,"위문, 격려 및 직원사기 등",유관기관 업무협의 및 간담회비 등,기타운영비,계,,
집행액,"584,000",0,"6,629,000","102,640","7,315,640",,
3. 업무추진비 사용내역,,,,,,,
,"(단위: 명, 원)",,,,,,
사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
총무과,"2022-07-01
(12:23:25)","스타벅스?코리
아",구로구 하계휴양소 운영에 따른 업무협의,5,"47,700",카드,"시책추진업무
추진비"
총무과,"2022-07-01
(21:24:54)",굴다리집,구청사 환경정비 관련 부서 의견 수렴,16,"415,000",카드,"시책추진업무
추진비"
총무과,"2022-07-04
(11:19:28)",산채순대,청사유휴공간 운영방안 협의,9,"95,000",카드,"시책추진업무
추진비"
총무과,"2022-07-05
(12:21:53)",국수뜨락,하계휴양소 운영관련 의견청취,5,"59,500",카드,"시책추진업무
추진비"
총무과,"2022-07-05
(12:50:22)",카페?피카,구청사 위생관리 용역계약 업무협의,12,"97,000",카드,"시책추진업무
추진비"
총무과,"2022-07-05
(16:19:36)",갈비명가,2022년 하반기 퇴직준비교육자 및 상반기 퇴임자 간담회비 18 지출,,"379,000",카드,"시책추진업무
추진비"
총무과,"2022-07-05
(16:38:11)",한우식당,직원 인사 업무협의에 따른 업무추진비 지출,8,"203,000",카드,"시책추진업무
추진비"
총무과,"2022-07-06
(08:33:39)",（주）에치와이,내방민원 응대 및 행사용 음료 및 다과 구매,-,"30,000",카드,"시책추진업무
추진비"
총무과,"2022-07-06
(21:05:22)",부뚜막청국장,숙직 및 보안 업무 관련 부서협의,8,"89,000",카드,"시책추진업무
추진비"
총무과,"2022-07-07
(16:27:43)","거금도갯장어마
을",청사 방역 관련 의견수렴,10,"282,000",카드,"시책추진업무
추진비"
총무과,"2022-07-08
(21:19:27)",송이족발,사무실 배치관련 주요 업무협의,6,"64,000",카드,"시책추진업무
추진비"
행정관리국,"2022-07-11
(19:48:13)",한우식당,구로구민상 관련 업무 협의,6,"143,000",카드,"시책추진업무
추진비"
총무과,"2022-07-12
(12:00:59)","실크로드．송림
가",2022년 직장동호회 운영 지원업무 협의,16,"386,000",카드,"시책추진업무
추진비"
총무과,"2022-07-12
(16:55:12)",약초마을,"공무원노조 간담회 개최에 따른 업무추진비
지출",15,"375,000",카드,"시책추진업무
추진비"
총무과,"2022-07-12
(18:23:25)",진미명가,구의회 임시회 업무보고 관련 주요업무 협의,15,"370,000",카드,"시책추진업무
추진비"
총무과,"2022-07-13
(12:45:25)","늘푸른채샤브샤
브",행정국 업무보고 관련 회의,-,"56,000",카드,"시책추진업무
추진비"
총무과,"2022-07-13
(19:15:48)",생선전문점명가,구청사 보안관련 점검 업무협의,9,"33,000",카드,"시책추진업무
추진비"
총무과,"2022-07-14
(12:15:06)","３５３５?부대
찌개와",구의회 임시회 업무보고 관련 주요업무 협의,6,"51,000",카드,"시책추진업무
추진비"
행정관리국,"2022-07-14
(12:44:58)",전가복,물놀이장 운영 관련 회의,11,"238,000",카드,"시책추진업무
추진비"
총무과,"2022-07-14
(12:49:07)",신마포갈비,인수위원회 운영 등 부서협의,-,"285,000",카드,"시책추진업무
추진비"
행정관리국,"2022-07-14
(20:51:07)",오류골,주민자치회 보조금 점검 관련 업무 협의,4,"99,000",카드,"시책추진업무
추진비"
총무과,"2022-07-15
(12:45:09)",진미명가,2022년도 직원마음건강지원 운영 협의,6,"380,000",카드,"시책추진업무
추진비"
총무과,"2022-07-15
(21:38:51)","서울안심축산정
육식당",직원친절교육 운영 등 업무협의,8,"196,000",카드,"시책추진업무
추진비"
총무과,"2022-07-15
(21:39:05)",바다목장,구청사 시설보수 현안 협의,6,"326,000",카드,"시책추진업무
추진비"
총무과,"2022-07-18
(21:20:19)",혼마참치,"공무원노조 간담회 개최에 따른 업무추진비
지출",12,"303,000",카드,"시책추진업무
추진비"
총무과,"2022-07-19
(12:45:26)",진미명가,구청사 환경정비 관련 부서협의,6,"311,000",카드,"시책추진업무
추진비"
행정관리국,"2022-07-19
(20:43:06)",생물이야기,하계휴양소 운영관련 기관협의,4,"45,000",카드,"시책추진업무
추진비"
총무과,"2022-07-19
(21:04:21)",최경은아구찜,재택치료 비상근무 관련 업무 협의 등,5,"85,000",카드,"시책추진업무
추진비"
