집행일자,사용장소,"집행금액
(원)","대상인원
(명)"
1월,한촌설렁탕,"55,000",4
1월,태능가든,"90,000",4
1월,맥도날드신내점,"36,000",4
1월,황가네식당,"38,900",4
1월,（주）스타벅스커피코리아,"26,200",4
1월,커피나무,"20,700",5
1월,대교참치,"100,000",4
1월,한촌설렁탕중화점,"60,500",4
1월,（주）스타벅스커피코리아,"28,100",6
1월,미스터순두부?상봉점,"44,900",4
1월,추오정남원추어탕,"67,000",4
1월,대관령쌈밥,"83,000",3
1월,대교참치,"56,000",3
1월,항구도시,"50,000",4
1월,바리스타폴?커피칸타타,"38,000",8
1월,장수칼국수,"39,000",4
1월,프랭크버거?화랑대역,"25,100",3
1월,꿈앤카페다솜,"24,500",5
1월,늘솜２층집,"89,000",4
1월,신내하이포크전문점,"25,000",4
1월,저수지,"121,000",4
1월,백돈,"49,000",4
1월,추오정남원추어탕,"60,000",3
1월,한촌설렁탕,"33,000",3
1월,스타벅스?코리아,"9,500",2
1월,파리바게뜨?신내중앙,"12,100",4
1월,본도시락?신내점,"59,600",6
1월,스타벅스?코리아,"51,800",9
1월,스쿨푸드?태릉딜리버,"77,100",6
1월,맥도날드신내점,"49,000",8
2월,한촌설렁탕,"73,500",6
2월,태능가든,"84,000",6
2월,우지커피?중랑구청점,"17,300",6
2월,장수칼국수,"200,000",6
2월,기와옥,"115,000",5
2월,투썸플레이스?신내점,"21,600",5
2월,포앤시드니 묵동점,"81,400",6
2월,버거킹?딜리버리?전,"63,400",6
2월,열정국밥,"56,900",6
2월,미스터순두부?상봉점,"85,900",6
2월,대교참치,"140,000",5
2월,늘솜２층집,"75,000",3
2월,（주）바닷가작은부엌,"115,000",4
2월,전광수커피하우스정동,"17,000",4
2월,한촌설렁탕,"48,000",4
2월,모밀엔카츠,"105,500",6
2월,죽１００１이야기,"83,000",6
2월,이디야커피?신내동점,"17,800",5
2월,모밀엔카츠,"18,500",2
2월,신내하이포크전문점,"39,000",5
2월,한촌설렁탕,"70,500",6
2월,마석감자탕,"45,000",5
2월,미스터순두부?상봉점,"85,500",6
2월,랑주３１７,"50,400",4
2월,대교참치,"140,000",4
2월,프랭크버거?화랑대역,"53,400",6
3월,우아한?식사,"32,500",3
3월,연호초밥,"84,000",6
3월,도가,"18,000",2
3월,한촌설렁탕,"83,000",6
3월,도미노피자면목점,"78,660",6
3월,정성이가득찬집밥중랑,"51,500",6
3월,원조산꽃게탕,"105,000",4
3월,태능가든,"60,000",3
3월,（주）큐스키친?어글,"60,800",3
3월,써브웨이?상봉역점,"34,500",4
3월,금용식당,"125,000",6
3월,（주）태릉풍천장어,"237,000",6
3월,본도시락?（상봉점）,"88,400",6
