사용자,일시,"장소
(상호명)",대상인원수,금액
언론팀장,"2022. 1. 4.
19:32",스시린,4,"118,000"
언론팀장,"2022. 1. 6.
12:43",보리,4,"103,000"
언론팀장,"2022. 1. 6.
20:52",월드아구찜,4,"111,000"
홍보과장,"2022. 1. 7.
12:50",보리,3,"78,000"
언론팀장,"2022. 1. 10.
13:41",최강금돈까스,4,"82,000"
언론팀장,"2022. 1. 10.
20:34",왔다산아나고구이,4,"120,000"
언론팀장,"2022. 1. 11.
13:13",포에트,4,"78,500"
언론팀장,"2022. 1. 12.
12:52",○다,3,"12,000"
언론팀장,"2022. 1. 12.
12:46",○대구탕,3,"46,000"
홍보과장,"2022. 1. 12.
12:45",○동,3,"44,000"
언론팀장,"2022. 1. 12.
20:52",이춘복참치공덕점,4,"120,000"
홍보과장,"2022. 1. 13.
12:37",스시린,4,"60,000"
홍보기획팀장,"2022. 1. 13.
12:43",가○,4,"62,000"
주무관,"2022. 1. 14.
13:16",성○골,4,"119,000"
언론팀장,"2022. 1. 14.
11:52",투○마포구청,3,"15,300"
언론팀장,"2022. 1. 14.
11:52",마포소문난족발,3,"63,000"
언론팀장,"2022. 1. 17.
13:19",G J○STINA,3,"27,000"
언론팀장,"2022. 1. 17.
12:59",한○식카페,3,"60,000"
언론팀장,"2022. 1. 18.
12:25",미○야마포구청점,4,"60,000"
홍보과장,"2022. 1. 19.
12:19",○동,3,"39,500"
언론팀장,"2022. 1. 20.
13:29",더테이블○정식,4,"83,000"
홍보과장,"2022. 1. 21.
19:57",강○사,"6
(백신접종 완료)","175,000"
언론팀장,"2022. 1. 24.
13:13",라그릴리아 광화문점,"6
(백신접종 완료)","164,500"
홍보과장,"2022. 1. 25.
12:05",동○,"5
(백신접종 완료)","94,500"
언론팀장,"2022. 1. 25.
14:46",카페시간의공기,4,"38,300"
언론팀장,"2022. 1. 25.
19:50",참숯불풍천장어,"6
(백신접종 완료)","164,000"
언론팀장,"2022. 1. 26.
12:33",스시린,2,"40,000"
주무관,"2022. 1. 27.
13:39",웃○브2,4,"104,200"
주무관,"2022. 1. 28.
12:31",군산찜집,4,"49,000"
홍보과장,"2022. 1. 28.
12:30",군산찜집,4,"61,000"
홍보과장,"2022. 2. 3.
12:44",목포낙지마을,"6
(백신접종완료)","134,000"
언론팀장,"2022. 2. 3.
13:17",파○스포터에프앤비,3,"55,500"
언론팀장,"2022. 2.4.
12:34",마포소문난○조족발,3,"32,000"
홍보과장,"2022. 2. 4.
12:43",자○각,4,"78,000"
홍보과장,"2022. 2. 7.
12:35",상암구름산추어탕,3,"34,000"
언론팀장,"2022. 2. 8.
11:51",미○포,"5
(백신접종완료)","88,000"
언론팀장,"2022. 2. 9.
13:14",라○릴리아 광화문점,"6
(백신접종완료)","167,900"
홍보과장,"2022. 2. 9.
20:45",고기식당도야지,4,"108,000"
언론팀장,"2022. 2. 11.
12:44",소안도풍경,3,"77,000"
언론팀장,"2022.2.16.
13:37",더테이블터블 주식회사,3,"86,400"
언론팀장,"2022.2.17.
12:42",팔○의봄,3,"13,600"
언론팀장,"2022.2.18.
12:15",상암구○산추어탕,4,"54,000"
홍보과장,"2022.2.18.
12:17",커○나라,4,"11,500"
홍보과장,"2022.2.21.
12:25",포○물회,"6
(백신접종완료)","108,000"
언론팀장,"2022.2.23.
12:46",배○반점,3,"77,000"
언론팀장,"2022.2.24.
13:00",합정오리농장,4,"68,000"
주무관,"2022.2.28.
12:44",앨○스 바이 미니멜츠,5,"34,000"
언론팀장,"2022.2.28.
20:57",굴○냥,3,"78,000"
주무관,"2022. 3. 4.
12:20",고기식당 도야지,6,"120,000"
홍보과장,"2022. 3. 8.
13:06",호남돼지한마당,3,"46,000"
언론팀장,"2022. 3. 8.
13:11",더테이블○정식,2,"50,000"
언론팀장,"2022. 3. 10.
11:23",별천지설농탕,4,"70,000"
언론팀장,"2022. 3. 11.
10:32",티타임 마포구청 카페,4,"18,900"
언론팀장,"2022. 3. 11.
12:18",명태공,3,"85,000"
홍보과장,"2022. 3. 11.
12:50",상○,4,"63,000"
언론팀장,"2022. 3. 14.
19:34",장사부반점,6,"166,500"
언론팀장,"2022. 3. 16.
12:34",보리,4,"80,000"
언론팀장,"2022. 3. 16.
12:40",카페커피랩,4,"14,400"
언론팀장,"2022. 3. 16.
21:05",월드아구찜,4,"76,000"
언론팀장,"2022. 3. 17.
12:14",목포낙지마을,4,"88,000"
언론팀장,"2022. 3. 18.
13:06",일○향,6,"180,000"
언론팀장,"2022. 3. 18.
20:26",김○정남원추어탕삼계탕,4,"102,000"
주무관,"2022. 3. 21.
11:08",커피더○,6,"47,100"
언론팀장,"2022. 3. 21.
12:10",콩고을,5,"87,000"
홍보과장,"2022. 3. 22.
12:49",우○가해담가 주식회사,3,"90,000"
언론팀장,"2022. 3. 22.
19:46",스시린,4,"120,000"
언론팀장,"2022. 3. 23.
12:37",서○동고기집,5,"130,000"
홍보기획팀장,"2022. 3. 25.
12:21",고기식당 도야지,6,"116,000"
언론팀장,"2022. 3. 28.
12:05",주식회사 양○식품,4,"90,000"
언론팀장,"2022. 3. 30.
13:22",미○포,4,"100,000"
언론팀장,"2022.4.4.
12:40",목포낙지마을,3,"74,000"
