사용일,사용장소,인원,사용금액
2022. 1. 7.,예향정,4,"47,000"
2022. 1. 3.,항도,4,"60,000"
2022. 1. 5.,롯데쇼핑(주)노원점,4,"53,000"
2022. 1.21.,우리집,4,"48,000"
2022. 1.27.,신선설농탕,3,"27,000"
2022. 1.26.,북경2,6,"140,000"
2022. 1.28.,청춘남원추어탕,5,"40,000"
2022.2.4.,청담미역,4,"64,000"
2022.2.8.,스시통,4,"64,000"
2022.2.9.,미꼬담(롯데백화점노원점),5,"89,000"
2022.2.10.,항도,3,"45,000"
2022.2.11.,영양센타,5,"82,500"
2022.2.14.,청담미역,4,"44,000"
2022.2.15.,하누소(롯데백화점노원점),4,"64,000"
2022.2.17.,새싹보리밥,3,"25,500"
2022.2.18.,전민규의 황제누룽지,5,"64,000"
2022. 3. 2,본죽앤비빔밥노원점,3,"38,500"
2022. 3. 4,영양센타,4,"115,500"
2022. 3. 7,스시통,4,"64,000"
2022. 3. 8,남다른감자탕 노원역,6,"60,000"
2022. 3. 10,하누소,4,"64,000"
2022. 3. 14,영양센타,6,"99,000"
2022. 3. 15,우리집,4,"48,000"
2022. 3. 16,가재골수제비,6,"63,000"
2022. 3. 17,원명품생태,4,"50,000"
2022. 3. 18,원동갈비,5,"65,000"
2022. 3. 21,새싹보리밥,6,"62,000"
2022. 3. 23,일성스시,5,"65,000"
2022. 3. 25,풍미연노원솥뚜껑,5,"60,000"
2022. 3. 29,스시다네,3,"46,000"
2022. 3. 29,디저트뒤쥬르,11,"60,000"
2022. 3. 30,스시통,6,"80,000"
2022. 3. 31,청춘남원추어탕,3,"24,000"
2022. 4. 1,도나한우,4,"40,000"
2022. 4. 4,하누소,6,"90,000"
2022. 4. 5,우리집,3,"36,000"
2022. 4. 7,명품장어구이,7,"140,000"
2022. 4. 8,스시웨이,6,"96,000"
2022. 4. 11,예향정,7,"87,000"
2022. 4. 13,(주)전한 강강술래상,2,"40,000"
2022. 4. 14,원동갈비,3,"42,000"
2022. 4. 15,칠갑산,6,"48,000"
2022. 4. 18,제일콩집,4,"37,000"
2022. 4. 19,포메인(노원점),5,"94,000"
2022. 4. 20,용호낙지,6,"72,000"
2022. 4. 21,순두부와빈대떡마을,4,"32,000"
2022. 4. 21,로니로티,6,"83,600"
2022. 4. 22,원명품생태,7,"72,000"
2022. 4. 27,우정낙지,5,"88,000"
2022.4.28.,영양센타,4,"58,500"
2022.5.2.,영양센타,5,"54,500"
2022.5.2.,투파인드피터 노원점,10,"187,000"
2022.5.4.,도나도나,4,"45,000"
2022.5.6.,포메인(노원점),6,"128,000"
2022.5.18.,도나한우,5,"40,000"
2022.5.24.,우도일식,2,"32,000"
2022.5.26,북경2,6,"123,000"
2022.5.26,장군보쌈,3,"28,000"
2022.5.27.,수시로스시,9,"120,000"
2022.5.30.,청담미역,7,"90,000"
2022.5.31.,항도,10,"210,000"
2022.6.3.,영양센타,4,"66,000"
2022.6.7.,예향정,4,"48,000"
2022.6.8.,남다른감자탕 노원역,5,"50,000"
2022.6.9.,우정낙지,3,"50,000"
2022.6.10.,포메인(노원점),6,"80,000"
2022.6.13,예향정,5,"66,000"
2022.6.17,항도,8,"189,000"
2022.6.20,영양센타,6,"96,000"
2022.6.21,일성스시,6,"78,000"
2022.6.22.,하누소,5,80000
