사용일자(일시),사용장소,"사용
금액(원)","대상
인원(명)"
2022-01-03 12:06,도화 외1,"83,000",3
2022-01-04 12:44,신수사,"104,000",4
2022-01-04 19:56,라페리체,"132,000",4
2022-01-05 12:16,신수사 외1,"94,000",4
2022-01-05 12:55,도곡에스파뇰,"111,000",4
2022-01-11 12:15,소호정,"80,000",3
2022-01-11 16:17,엉뚱한생고기,"205,000",4
2022-01-12 12:40,나오키 외1,"140,000",4
2022-01-12 16:12,이삭토스트,"340,500",47
2022-01-12 12:25,도화 외1,"144,000",4
2022-01-13 12:11,나오키 외1,"85,900",3
2022-01-13 12:50,김일도,"100,000",4
2022-01-13 16:29,이삭토스트,"441,600",96
2022-01-13 16:32,이삭토스트,"218,600",33
2022-01-13 16:34,이삭토스트,"368,000",56
2022-01-14 12:09,신수사 외1,"54,500",3
2022-01-14 19:21,제주은갈치,"86,000",3
2022-01-17 8:25,이삭토스트,"184,000",19
2022-01-17 12:13,봉피양 외1,"247,200",6
2022-01-17 12:30,더맛있는스테이크,"121,000",4
2022-01-17 13:53,좋은아침페스츄리,"86,000",4
2022-01-18 12:17,도화 외1,"78,500",5
2022-01-19 10:35,우아한형제들,"55,000",3
2022-01-19 14:53,이삭토스트,"220,900",24
2022-01-19 14:54,이삭토스트,"253,000",32
2022-01-19 19:42,라페리체,"135,000",5
2022-01-20 12:28,서초명가,"93,000",4
2022-01-20 19:34,정수사,"45,000",3
2022-01-21 8:38,에그드랍,"248,800",40
2022-01-21 11:08,도화,"28,000",3
2022-01-21 12:35,갈비사랑,"200,000",6
2022-01-21 13:05,투썸플레이스,"100,000",5
2022-01-21 15:54,에그드랍,"66,700",8
2022-01-23 13:29,부안애서,"85,500",3
2022-01-24 12:22,메기대감 외1,"84,600",4
2022-01-24 20:17,제주은갈치 외1,"106,500",4
2022-01-25 10:38,우아한형제들,"27,500",2
2022-01-25 11:01,우아한형제들,"34,000",3
2022-01-25 14:45,스미스바니,"200,000",24
2022-01-25 19:44,하오차이,"215,800",6
2022-01-26 18:54,이삭토스트,"238,700",22
2022-01-26 19:49,도곡에스파뇰,"106,400",5
2022-01-27 11:32,장꼬방,"84,500",4
2022-01-27 12:05,신수사,"70,000",3
2022-01-27 19:26,아웃백스테이크,"104,100",4
2022-02-04 10:28,본도시락,"21,700",3
2022-02-07 12:13,부안애서,"121,000",5
2022-02-08 8:16,커피앳웍스,"28,200",4
2022-02-08 12:13,두어마리,"176,000",6
2022-02-08 12:27,영덕집 외1,"142,000",5
2022-02-08 12:49,더맛있는스테이크,"244,000",6
2022-02-09 8:24,마티스커피,"58,000",4
2022-02-09 12:16,서초명가,"178,000",6
2022-02-09 12:41,강촌원조쭈꾸미,"156,300",5
2022-02-09 19:16,정수사,"68,000",3
2022-02-10 12:04,하오차이 외1,"92,300",4
2022-02-10 19:41,엉뚱한 생고기,"182,000",6
2022-02-11 12:17,신수사,"51,000",3
2022-02-13 13:40,부안애서 외1,"129,400",5
2022-02-14 12:35,명선헌,"133,100",5
2022-02-15 12:20,37.5,"96,500",4
2022-02-15 17:43,라크렘,"57,000",3
2022-02-15 19:15,요요마의 키친,"120,200",5
2022-02-16 9:00,바우네나주곰탕,"15,500",2
2022-02-16 10:35,우아한형제들,"31,300",3
2022-02-17 12:35,두어마리,"170,000",6
2022-02-17 12:45,더맛있는스테이크,"244,000",6
2022-02-17 14:29,하나로클럽,"310,890",18
2022-02-17 18:48,부안애서,"129,000",5
2022-02-18 12:07,37.5 외 1,"173,400",6
2022-02-19 11:51,풍천가 외1,"115,200",4
2022-02-22 12:17,37.5,"87,500",4
2022-02-22 19:12,우작설렁탕,"191,000",6
2022-02-23 10:48,우아한형제들,"39,200",4
2022-02-24 8:24,마티스커피,"51,500",5
2022-02-24 11:34,우아한형제들,"94,000",8
2022-03-14 11:55,억불산 외1,"186,500",6
2022-03-15 12:19,산마루돌구이,"133,000",5
2022-03-15 20:22,하오차이,"362,000",12
2022-03-16 10:45,우아한형제들,"44,000",3
2022-03-16 16:35,국미당,"150,000",16
2022-03-16 16:45,파리바게뜨,"150,000",18
2022-03-16 18:51,금수복국,"156,000",6
2022-03-21 8:07,마티스커피,"55,500",5
2022-03-21 12:41,김이순장춘식당,"103,000",5
2022-03-23 8:09,마티스커피,"103,000",7
2022-03-23 9:28,이삭토스트,"168,000",35
2022-03-23 12:01,수미관,"85,000",6
2022-03-23 19:07,채린,"216,000",8
2022-03-24 10:43,우아한형제들,"51,980",4
2022-03-25 9:55,쌀마루,"93,500",23
2022-03-25 13:05,커피앳웍스,"95,000",12
2022-03-28 12:12,무화잠 외1,"134,000",5
2022-03-29 8:33,마티스커피,"73,500",10
2022-03-29 10:43,우아한형제들,"43,840",4
2022-03-29 15:34,린참치,"200,000",8
2022-03-29 16:14,홍팥집,"60,000",3
2022-03-29 20:11,하츠코이,"240,000",8
2022-03-30 12:15,진대감,"114,000",4
2022-03-30 18:53,푸주옥,"207,000",7
2022-03-31 12:35,강촌원조쭈꾸미 외1,"122,100",8
2022-03-31 13:43,한우리보호작업장 외1,"181,000",7
2022-03-31 15:21,맛있는깻잎닭강정,"100,000",6
2022-03-31 15:48,마티스커피,"108,000",8
2022-03-31 15:56,노랑통닭,"150,000",8
2022-03-31 19:43,진대감,"313,000",12
2022-03-02 10:44,우아한형제들,"48,900",3
2022-03-02 11:26,한우리보호작업장,"100,000",18
2022-03-02 18:52,요요마의 키친,"107,700",6
2022-03-03 8:18,마티스커피,"51,000",5
2022-03-03 12:35,풍천가 외1,"112,000",4
2022-03-04 8:42,이삭토스트,"197,400",38
2022-03-04 12:21,신수사 외1,"170,550",6
2022-03-04 19:37,하오차이 외1,"226,000",6
2022-03-05 10:27,37.5,"46,700",3
2022-03-05 16:09,부안애서,"45,000",3
2022-03-07 8:28,제주은희네해장국,"25,000",2
2022-03-07 10:31,우아한형제들,"63,400",4
2022-03-07 15:32,스미스바니,"220,000",13
2022-03-07 19:25,코다리명가,"141,900",5
2022-03-08 8:13,마티스커피,"153,500",6
2022-03-08 12:36,요요마의 키친,"187,000",6
2022-03-09 12:19,봉추찜닭 외1,"114,000",4
2022-03-09 16:19,교대이층집,"300,000",12
2022-03-10 8:27,커피앳웍스,"90,240",11
2022-03-10 12:08,도화 외1,"109,500",6
2022-03-11 8:31,마티스커피,"106,000",16
2022-03-11 12:23,서초 김치찌개 외1,"39,000",3
2022-03-11 15:45,쌀마루,"99,400",44
2022-03-11 19:14,한우촌,"203,600",6
2022-04-01 8:10,마티스커피,"51,500",8
2022-04-01 12:26,더맛있는스테이크,"240,000",8
2022-04-01 12:31,딘타이펑,"336,800",12
2022-04-01 12:31,스타벅스,"88,000",17
2022-04-01 12:47,설마중,"188,000",6
2022-04-01 19:18,한우촌,"117,730",5
2022-04-04 13:03,쌀마루 외1,"257,700",28
2022-04-04 14:38,커피빈,"100,000",20
2022-04-04 19:12,제주은갈치,"50,000",3
2022-04-05 12:21,라그릴리아,"219,500",8
2022-04-05 14:03,더맛있는스테이크,"246,000",9
2022-04-05 19:26,한상차림코다리명가,"138,200",7
2022-04-06 12:24,강촌원조쭈꾸미 외1,"142,600",5
2022-04-06 16:12,홍팥집,"40,000",4
2022-04-12 18:27,자맛풍,"200,000",7
2022-04-18 8:02,스미스바니,"150,000",18
2022-04-18 12:09,도화 외1,"70,000",4
