"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  3월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,기획팀장,2022-03-02 12:09:06,웰컴카페,회의자료 작성 관련 업무 협의,4,"17,500",신용카드,시책
2,자치분권 담당 주무관,2022-03-02 21:48:26,코젤다크하우스성신여,구 특례 발굴 관련 업무협의,3,"46,500",신용카드,시책
3,기획예산과장,2022-03-02 20:04:42,보문골,"2030 중장기 발전계획 용역, 과제 연계 관련 업무",4,"102,000",신용카드,시책
4,기획팀장,2022-03-03 11:54:48,커피에반하다（용두Ｋ,2022 상반기 성과평가 결과 개선사항 관련 업무 협의,6,"12,500",신용카드,시책
5,기획재정국장,2022-03-03 21:02:09,끄트머리집   안암점,2030 중장기 발전계획 용역 관련 업무 협의,5,"44,800",신용카드,시책
6,기획팀장,2022-03-03 11:54:04,어머니   대성집,2022 상반기 성과평가 결과 개선사항 관련 업무 협의,6,"83,000",신용카드,시책
7,투자심사 담당 주무관,2022-03-03 19:25:01,더하녹（Ｔｈｅ   Ｈａ,국시비 주요 투자사업 점검 간담회,3,"171,000",신용카드,시책
8,기획예산과장,2022-03-03 19:48:21,돈가래,외부평가 관련 응모률 제고를 위한 업무협의,4,"174,000",신용카드,시책
9,공공시설 관리 담당 주무관,2022-03-04 12:23:02,구월,도시공간조정 TFT 심의 관련 협의,4,"12,500",신용카드,시책
10,재정공시 담당 주무관,2022-03-04 11:50:52,카페   위로．한모금,예산기준 재정공시 관련 업무추진,4,"19,500",신용카드,시책
11,자치분권 담당 주무관,2022-03-04 11:54:49,양평해장국전문,구 특례 발굴 관련 업무협의,3,"44,000",신용카드,시책
12,기획재정국장,2022-03-04 12:19:31,（주）   이태리총각,공공시설 관리 시스템 구축 관련 업무 협의,4,"75,000",신용카드,시책
13,기획팀장,2022-03-04 12:20:05,마늘과올리브,제2회 미래성북데이 운영 관련 업무,3,"80,500",신용카드,시책
14,기획팀장,2022-03-07 11:59:52,웰컴카페,민선7기 4년차 과제이행 점검 관련 업무,3,"15,500",신용카드,시책
15,예산팀장,2022-03-07 12:19:55,달．달커피（ＤＡＬ．,추경 예산 편성 관련 업무추진,6,"19,400",신용카드,시책
16,기획예산과장,2022-03-07 19:17:19,황해옥,중장기 발전계획 수립 용역 관련 업무,6,"31,000",신용카드,시책
17,기획재정국장,2022-03-07 21:12:35,코젤다크하우스성신여,사회적경제 활성화 관련 업무 협의,6,"55,500",신용카드,시책
18,기획팀장,2022-03-08 11:51:33,메가엠지씨커피   성북,과제평가 개선 관련 업무,5,"6,700",신용카드,시책
