"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  11월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
1,기획팀장,2022.11.01.11:27:01,덮덮밥,구정 신규사업 발굴 관련 업무추진,3,"48,200",신용카드,시책
2,공재단 담당 주무관,2022.11.01.11:58:33,도쿄커틀릿,공재단 복리후생 등 점검 관련 업무추진,5,"61,500",제로페이,시책
3,공재단 담당 주무관,2022.11.01.12:01:44,카페진,지방공공기관 혁신계획 등 업무추진,5,"19,500",제로페이,시책
4,법제통계팀장,2022.11.01.12:07:52,밥상의 힘,마을기록화 사업 관련 업무추진,5,"42,000",제로페이,시책
5,대외재정 담당 주무관,2022.11.01.12:13:35,녕화식당,특별조정교부금 관련 업무추진,8,"120,000",신용카드,시책
6,기획예산과장,2022.11.01.12:16:46,훗스테이크,서울시비 확보방안 논의 관련 업무추진,5,"82,400",신용카드,시책
7,기획재정국장,2022.11.01.12:17:00,마늘과 올리브,특별교부세 대상 사업 발굴 관련 업무추진,6,"121,000",신용카드,시책
8,기획예산과장,2022.11.01.12:21:51,커피볶는부엌,서울시비 확보방안 논의 관련 업무추진,5,"17,500",신용카드,시책
9,기금 담당 주무관,2022.11.01.12:23:44,카페온더플랜,기금운용계획 수립 관련 업무추진,5,"24,000",신용카드,시책
10,기획 담당 주무관,2022.11.02.11:22:56,송정초밥,구정 신규사업 발굴 관련 업무추진,5,"36,900",신용카드,시책
11,공단 담당 주무관,2022.11.02.11:40:44,통돼지두루치기,지방공공기관 혁신계획 등 업무추진,6,"72,000",제로페이,시책
12,기획재정국장,2022.11.02.11:58:05,대성집,구의회 정례회 준비 관련 업무추진,5,"88,000",신용카드,기관
13,기획재정국장,2022.11.02.11:58:57,커피에 반하다,구의회 정례회 준비 관련 업무추진,5,"14,000",신용카드,기관
14,기획예산과장,2022.11.02.12:16:01,훗스테이크,주민기록단 운영 관련 업무추진,8,"85,100",제로페이,시책
15,성과관리 담당 주무관,2022.11.02.12:22:52,카페뮬,성과관리 체계 개선 관련 업무추진,5,"28,920",신용카드,시책
16,세입 담당 주무관,2022.11.02.12:29:15,한우누렁소,일반조정교부금 관련 업무추진,14,"254,000",신용카드,시책
17,공시 담당 주무관,2022.11.02.19:14:18,에그드랍,결산기준 재정공시 관련 업무추진,7,"57,800",신용카드,시책
18,기획팀장,2022.11.03.11:11:15,서울회관,성과관리 체계 개선 관련 업무추진,5,"48,800",신용카드,시책
19,재단 담당 주무관,2022.11.03.11:58:30,삼홍,재단 출연 동의안 업무조정 관련 업무추진,4,"48,000",제로페이,시책
20,기획 담당 주무관,2022.11.03.12:59:43,투썸,구정 신규사업 발굴 관련 업무추진,2,"9,000",신용카드,시책
21,중기 담당 주무관,2022.11.03.18:57:07,우리할매떡복이,2023~2027 중기지방재정계획 수립 관련 업무추진,5,"48,500",신용카드,시책
22,기획재정국장,2022.11.03.20:15:46,오봉집,특별교부세 대상 사업 발굴 관련 업무추진,10,"161,000",신용카드,시책
23,기획재정국장,2022.11.04.,경조사비,직원 경조사비,1,"50,000",현금,기관
24,예산팀장,2022.11.04.11:59:35,스시캘리포니아,대외재정 확보 관련 업무추진,4,"58,000",신용카드,시책
25,전용 담당 주무관,2022.11.04.12:01:28,어테이블,예산전용 관련 업무추진,4,"15,900",신용카드,시책
26,기획예산과장,2022.11.04.12:12:43,옛날불고기,특별교부금 대상 사업 발굴 관련 업무추진,5,"63,000",신용카드,시책
27,기획팀장,2022.11.04.12:17:29,이크이크,자치구 부구청장 회의 관련 업무추진,3,"19,000",신용카드,시책
28,기획재정국장,2022.11.04.12:30:48,남도별미,사회적경제 활성화 관련 업무추진,3,"28,000",신용카드,시책
29,기획재정국장,2022.11.04.12:32:15,메가커피,사회적경제 활성화 관련 업무추진,3,"3,500",신용카드,시책
30,재단 담당 주무관,2022.11.04.15:10:38,오블롱,재단 복리후생점검 관련 업무추진,8,"86,700",제로페이,시책
31,중기 담당 주무관,2022.11.04.18:59:20,버거파크,2023~2027 중기지방재정계획 수립 관련 업무추진,3,"27,200",신용카드,시책
32,자치분권 담당 주무관,2022.11.07.11:19:29,초밥좋은날,자치분권 영향평가 관련 업무추진,6,"98,000",신용카드,시책
33,법제담당 주무관,2022.11.07.11:44:04,듀오,자치법규 정비 관련 업무추진,3,"9,000",제로페이,시책
34,공공시설 담당 주무관,2022.11.07.12:20:42,루틴,공공시설 관리체계 구축 관련 업무추진,4,"13,500",신용카드,시책
35,기획재정국장,2022.11.07.12:47:43,이상,2023년 본예산 편성 관련 업무추진,12,"360,000",신용카드,시책
36,예산팀장,2022.11.07.19:06:21,육회란연어다,구정 주요사업 재원 확보 관련 업무추진,5,"89,700",신용카드,시책
37,기획재정국장,2022.11.07.20:06:48,육부심,2023 서울시비 확보 관련 업무추진,10,"275,000",신용카드,시책
38,대외재정 담당 주무관,2022.11.07.21:09:34,네이버파이낸셜,특별조정교부금 관련 업무추진,12,"109,540",신용카드,시책
39,기획재정국장,2022.11.07.21:34:22,쿠마,2023 서울시비 확보 관련 업무추진,10,"178,700",신용카드,시책
40,법제통계팀장,2022.11.08.11:57:45,딸기하우스,조례규칙심의 관련 업무추진,6,"59,400",제로페이,시책
41,기획팀장,2022.11.08.12:46:19,전통만두국,동북4구 협의회 안건 발굴 관련 업무추진,4,"58,000",신용카드,시책
42,기획예산과장,2022.11.09.09:54:41,뚜레쥬르,구청장 협의회 관련 업무추진,3,"23,600",신용카드,시책
43,평가 담당 주무관,2022.11.09.11:54:07,오봉집,2023 지자체합동평가 관련 업무추진,5,"54,000",신용카드,시책
44,통계 담당 주무관,2022.11.09.12:05:55,성신초밥,통계조사 지원 관련 업무추진,5,"43,000",제로페이,시책
45,중기 담당 주무관,2022.11.09.12:08:22,전통평양만두,2023~2027 중기지방재정계획 수립 관련 업무추진,5,"46,000",제로페이,시책
46,공재단 담당 주무관,2022.11.09.12:37:37,마늘과 올리브,지방공공기관 안전보건관리 관련 업무추진,5,"62,500",신용카드,시책
47,기획예산과장,2022.11.09.12:38:12,고향칼국수,구청장 협의회 관련 업무추진,3,"39,000",신용카드,시책
48,공공시설 담당 주무관,2022.11.09.12:45:56,밀곳간,시스템 기획용역 자료수집 관계좌 회의 관련 업무추진,3,"31,300",신용카드,시책
49,공공시설 담당 주무관,2022.11.09.13:04:17,오블롱,시스템 기획용역 자료수집 관계좌 회의 관련 업무추진,3,"7,500",신용카드,시책
50,기획재정국장,2022.11.09.13:23:59,돌담,특별교부세 확보 관련 업무추진,5,"114,000",신용카드,시책
51,통계 담당 주무관,2022.11.09.14:51:58,듀오,통계연보 제작 관련 업무추진,5,"38,000",제로페이,시책
52,대외재정 담당 주무관,2022.11.09.17:09:08,네이버파이낸셜,대외재정 확보 관련 업무추진,30,"495,000",신용카드,시책
53,법제통계팀장,2022.11.10.12:07:44,밥상의 힘,통계연보 제작 관련 업무추진,6,"51,500",제로페이,시책
54,예산팀장,2022.11.10.12:11:54,만복식당,특별조정교부금 관련 업무추진,4,"55,000",신용카드,시책
55,미래성북 담당 주무관,2022.11.10.12:32:06,마늘과 올리브,가용부지 활용 유관부서 협의 관련 업무추진,6,"75,000",신용카드,시책
56,미래성북팀장,2022.11.10.12:39:55,루틴,도시공간 조정 관련 업무추진,10,"55,000",신용카드,시책
57,기획재정국장,2022.11.10.13:25:38,삼홍,특별교부세 확보 관련 업무추진,15,"354,000",신용카드,시책
58,기획 담당 주무관,2022.11.10.14:01:22,달달커피,2023 고유과제 수립 관련 업무추진,7,"32,800",신용카드,시책
59,기획재정국장,2022.11.10.19:17:58,그집밥,국시비 보조율 제도개선 관련 업무추진,7,"108,000",신용카드,시책
