연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법
1,2. 4.,미디어보드 관계자 간담회,담쟁이,"직원 2, 관계자 2","31,000",카드
2,2. 4.,미디어보드 관계자 간담회,바리스터코난 &라나,"직원 2, 관계자 2","21,000",카드
3,2. 4.,정책연구조사 실무 간담회,대성장,정책개발전문관 등 5인,"37,500",카드
4,2. 4.,워킹스쿨버스 관련 홍보 간담회,경성함바그&버거 스캔들 왕십리역점,소통담당관 직원 및 관계자 총 5명,"64,500",제로 페이
5,2. 4.,언론사 기자 취재 지원,순천식당,소통담당관 직원 및 관계자 총 5명,"100,000",제로 페이
6,2. 7.,SNS 활성화 관련 간담회,경성함바그 (왕십리역점),담당자 등 총 3명,"41,700",카드
7,2. 8.,소식지 관련 회의,나라구한닭,담당자 등 총 4명,"44,000",카드
8,2. 8.,언론사 기자 현장행정 지원,동해일식,소통담당관 직원 및 관계자 총 5명,"140,000",제로 페이
9,2. 9.,인터넷방송국 유지보수 관계자 간담회,이땔리면옥&곱떡,"직원 2, 관계자 4","85,600",제로 페이
10,2. 9.,언론사 기자 간담회,한우와바다,소통담당관 직원 및 관계자 총 6명,"180,000",제로 페이
11,2. 10.,언론사 기자 현장취재 지원,우프,소통담당관 직원 및 관계자 총 5명,"39,500",카드
12,2. 11.,소식지 관련 회의,이땔리면옥&곱떡,담당자 등 총 5명,"49,500","제로
페이"
13,2. 11.,초등학생 자가검사키트 배부 관련 홍보 간담회,이땔리면옥&곱떡,소통담당관 직원 및 관계자 총 4명,"39,200",제로 페이
14,2. 11.,인터넷방송국 유지보수 관계자 간담회,나라구한닭정통 닭갈비(왕십리점),"직원 1, 관계자 3","44,000",제로 페이
15,2. 14.,IoT 관련 홍보 간담회,푸른바다,소통담당관 직원 및 관계자 총 6명,"45,000",제로 페이
16,2. 15.,언론사 기자 간담회,민소한우광화문,소통담당관 직원 및 관계자 총 6명,"208,000",제로 페이
17,2. 15.,소식지 표지 디자인 편집 회의,카페서울숲 성동구청점,담당자 등 총 6명,"40,000",제로 페이
18,2. 15.,중랑천 음악방송 제작 관계자 간담회,카페서울숲 성동구청점,"직원 2, 관계자 3","50,000",제로 페이
19,2. 15.,중랑천 음악방송 제작 관계자 간담회,래래,"직원 2, 관계자 3","120,000",제로 페이
20,2. 15.,노바백스 예방접종 관련 홍보 간담회,달인의족발,소통담당관 직원 및 관계자 총 6명,"164,000",제로 페이
21,2. 16.,SNS 활성화 관련 간담회,래래,담당자 등 총 4명,"43,000",카드
22,2. 16.,유튜브 영상 제작 관련 관계자 간담회,㈜성수족발,"직원 2, 관계자 1","50,000",카드
23,2. 16.,성동형 ESG정책 수립 관련 홍보 간담회,양가,소통담당관 직원 및 관계자 총 6명,"90,000",제로 페이
24,2. 17.,기자설명회 관련 협의,다동커피집,소통담당관 직원 및 관계자 총 4명,"13,500",제로 페이
,,,,,"4,500",
25,2. 18.,성동구 업무연속성계획 수립 관련 홍보 간담회,나라구한닭정통 닭갈비(왕십리점),소통담당관 직원 및 관계자 총 6명,"42,000",제로 페이
26,2. 21.,지역방역 일자리사업 관련 홍보 간담회,촬댄,소통담당관 직원 및 관계자 총 4명,"80,000",제로 페이
27,2. 23.,언론사 기자 간담회,더테이블한정식,소통담당관 직원 및 관계자 총 4명,"75,000",제로 페이
28,2. 23.,경력보유여성 홍보 관련 실무 간담회,카페 서울숲,청년정책전문관 등 4인,"11,000",카드
29,2. 24.,평생학습 종합계획 수립 관련 홍보 간담회,하동진,소통담당관 직원 및 관계자 총 4명,"57,000",제로 페이
30,2. 25.,미디어보드 관계자 간담회,에그박스,"직원 2, 관계자 3","69,100",카드
31,2. 25.,IoT 무인회수기 관련 현장취재 지원,이디야커피 (신금호역점),소통담당관 직원 및 관계자 총 4명,"11,400",제로 페이
