연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
1,5. 2.,소식지 관련 회의,이땔리면옥&곱떡,담당자 등 총 4명,"39,800",제로 페이,
2,5. 2.,한걸음에 닿는 동네배움터 관련 홍보 간담회,삼청동샤브 왕십리역점,소통담당관 직원 및 관계자 총 4명,"54,600",카드,
3,5. 2.,언론사 기자 취재 협의,고기를품다,소통담당관 직원 및 관계자 총 8명,"186,000",제로 페이,
4,5. 3.,홍보정책 연구조사 실무 간담회,소안도풍경,정책개발전문관 등 8인,"248,000",제로 페이,
5,5. 3.,참좋은지방정부협의회 홍보 실무 간담회,더테이블한정식,정책개발전문관 등 6인,"198,000",제로 페이,
6,5. 3.,언론사 기자 간담회,동해일식,소통담당관 직원 및 관계자 총 8명,"202,000",제로 페이,
7,5. 3.,언론사 기자 취재 협의,㈜에스케이씨컴퍼니 (스타벅스커피),소통담당관 직원 및 관계자 총 3명,"9,000",카드,
,,,,,"2,000",,
8,5. 3.,언론사 기자 현장 취재 지원,티룸원더브루,소통담당관 직원 및 관계자 총 4명,"17,200",카드,
9,5. 3.,성동2040 도시계획 관련 홍보 간담회,주052,소통담당관 직원 및 관계자 총 6명,"90,000",카드,
10,5. 4.,스마트횡단보도 관련 홍보 간담회,이땔리면옥&곱떡,소통담당관 직원 및 관계자 총 3명,"33,300",제로 페이,
11,5. 9.,서울숲 복합체육문화센터 현장점검 관련 홍보 간담회,굴마을낙지촌 (왕십리점),소통담당관 직원 및 관계자 총 4명,"45,000",제로 페이,
12,5. 9.,성동포커스 제작 관계자 간담회,카페서울숲 성동구청점,"직원 4, 관계자 4","50,000",제로 페이,
13,5. 9.,성수동 구정 연구과제 발굴 논의,제주삼다돈,연구조사직원 등 3인,"41,500",카드,
14,5. 10.,공유재산 임차 소상공인 임대료 감면 관련 홍보 간담회,카페서울숲 성동구청점,소통담당관 직원 및 관계자 총 6명,"50,000",제로 페이,
15,5. 10.,찾아가는 희망복지상담소 관련 홍보 간담회,엽기꼼닭발,소통담당관 직원 및 관계자 총 4명,"60,000",제로 페이,
16,5. 10.,SNS 활성화 관련 간담회,가마루빚은고등어,담당자 등 총 4명,"40,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
17,5. 11.,언론사 기자 취재 협의,양대포,소통담당관 직원 및 관계자 총 6명,"74,000",카드,
18,5. 11.,안전통학로 조성 위한 메타버스 게임 관련 홍보 간담회,삼청동사브 왕십리역점,소통담당관 직원 및 관계자 총 4명,"41,700",제로 페이,
19,5. 11.,미디어보드 운영 관계자 간담회,자금성,"직원 3, 관계자 4","93,000",제로 페이,
20,5. 12.,언론사 기자 간담회,제일곱창,소통담당관 직원 및 관계자 총 6명,"95,000",제로 페이,
21,5. 13.,언론사 기자 취재 협의,육회자매집,소통담당관 직원 및 관계자 총 6명,"88,000",제로 페이,
22,5. 16.,유니세프 아동친화도시 상위단계인증 관련 홍보 간담회,끄트머리집,소통담당관 직원 및 관계자 총 4명,"38,800",제로 페이,
23,5. 16.,성동포커스 제작 관계짜 간담회,금녕곰탕,"직원 2, 관계자 4","69,000",제로 페이,
24,5. 17.,성동여행 지도플랫폼 개방 관련 홍보 간담회,NAKED COFFEE,소통담당관 직원 및 관계자 총 4명,"12,500",제로 페이,
25,5. 17.,어린이·어르신 보호구역 확대 관련 홍보 간담회,자금성,소통담당관 직원 및 관계자 총 4명,"55,000",제로 페이,
26,5. 17.,언론사 기자 간담회,춘몽,소통담당관 직원 및 관계자 총 8명,"164,500",카드,
27,5. 18.,구정 주요정책 홍보 관련 논의,아리가또,연구조사직원 등 3인,"10,000",제로 페이,
28,5. 18.,송정제방길 어린이상상마당 개장 관련 홍보 간담회,봉평골메밀막국수,소통담당관 직원 및 관계자 총 4명,"45,000",제로 페이,
29,5. 19.,중랑천 음악방송 제작 관계자 간담회,나라구한닭정통 닭갈비(왕십리점),"직원 3, 관계자 4","77,000",제로 페이,
30,5. 20.,유튜브 성동맨 제작 관계자 간담회,짬뽕위에 더짬뽕,"직원 1, 관계자 1","28,500",카드,
31,5. 20.,청년 탈모치료비 지원 관련 홍보 간담회,삼청동사브 왕십리역점,소통담당관 직원 및 관계자 총 5명,"55,600",제로 페이,
32,5. 23.,언론사 기자 간담회,대원참숯구이,소통담당관 직원 및 관계자 총 6명,"118,000",카드,
33,5. 23.,성수역 수제화 트릭아트 관련 홍보 간담회,포메인왕십리점,소통담당관 직원 및 관계자 총 6명,"66,000",제로 페이,
34,5. 23.,소식지 관련 회의,삼청동사브 왕십리역점,담당자 등 총 5명,"66,500",제로 페이,
35,5. 24.,언론사 기자 취재 협의,고깃집왕고을,소통담당관 직원 및 관계자 총 8명,"141,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
36,5. 24.,"성동안심상가 중대재해 대응 모의훈련 관련 홍보
간담회",성수감자탕 하윤점,소통담당관 직원 및 관계자 총 7명,"107,000",제로 페이,
37,5. 24.,소형 스마트쉼터 본격 운영 관련 홍보 간담회,나라구한닭정통 닭갈비(왕십리점),소통담당관 직원 및 관계자 총 3명,"33,000",제로 페이,
38,5. 24.,서울시 출입기자실 전입기자단 간담회,신호북창동점,소통담당관 직원 및 관계자 총 15명,"476,000",제로 페이,
39,5. 25.,SNS 활성화 관련 간담회,끄트머리집,담당자 등 총 4명,"49,400",제로 페이,
40,5. 25.,옥수동 급경사지 엘리베이터 설치 관련 홍보 간담회,경성함바그 &버거스캔들 왕십리역사점,소통담당관 직원 및 관계자 총 4명,"41,700",제로 페이,
41,5. 26.,공공데이터 기업매칭 지원사업 선정 관련 홍보 간담회,카페 아띠,소통담당관 직원 및 관계자 총 5명,"37,000",제로 페이,
42,5. 27.,언론사 기자 간담회,대촌정,소통담당관 직원 및 관계자 총 7명,"125,000",제로 페이,
43,5. 27.,반부패경영시스템 인증 관련 홍보 간담회,조개랑 곱창,소통담당관 직원 및 관계자 총 5명,"54,000",제로 페이,
44,5. 27.,대현산배수지공원 소규모주차장 조성 관련 홍보 간담회,효창에프씨 (심가네),소통담당관 직원 및 관계자 총 4명,"20,000",제로 페이,
45,5. 30.,언론사 기자 취재 협의 및 현장 취재 지원,한우와바다,소통담당관 직원 및 관계자 총 6명,"150,000",제로 페이,
46,5. 30.,언론사 기자 취재 협의,고향촌,소통담당관 직원 및 관계자 총 5명,"47,600",제로 페이,
47,5. 31.,복지예산 부정수급 예방 관련 홍보 간담회,봉평골메밀막국수,소통담당관 직원 및 관계자 총 3명,"27,000",제로 페이,
