연번,집행일,집행목적,,집행장소,집행대성(인원),집행금액,體,
1,7.  1.,"서울숲복합문화체육센터
개관 관련 홍보 간담회",,쭈피랑,"소통담당관직원
및 관계자  총 5명","56,000",제로 페이,
2,7.  4.,반부패경영  인중 관련  홍보 간담회,,칸지고고,소통담당관직원 및 관계자 총4명,"34,000",제로 페이,
3,7.  4.,언론사기자간담회,,효창에프씨,"소통담당관  직원
및 관계자 총 9명","256,900",제로 페이,
4,7.  4.,항공촬영  관계자  간담회,,쭈피랑,"직원 3,  관계자 3","84,000",카드,
5,7.  5.,열린 아이디어  공모전  관련 홍보간담회,,두꺼비식당,소통담당관  직원 및 관계자 총 6명,"88,000",제로 페이,
6,7.  5.,"언론사  기자  현장  취재
지원",,왕십리오리사냥,8,"144,000",제로 페이,
7,7.  6.,소식지  관련  회의,,일품양평해장국,"담당자  등  총
4명","36,000",제로 페이,
8,7.  6.,여성위생용품  키트전달  관련 홍보간담회,,추선생,소통담당관  직원 및 관계자 총 3명,"24,000",제로 페이,
9,7.  7.,"임산부케어존  조성  관련
홍보  간담회",,"이디야커피
성동구청점","소통담당관  직원
및 관계자 총 6명","17,000",제로 페이,
10,7.  7.,언론사  기자  취재  지원,,우리바다 생태찌개,"소통담당관직원
및 관계자 총 6명","95,000",제로 페이,
11,7.  7.,봉제업체  작업환경개선  지원 관련  홍보 간담회,,오븐에빠진닭,소통담당관  직원 l,,제로 페이,
,,,,,"및  관계자 총6명     69,000",,,
12,7.  8.,상반기 신속집행  관련  홍보 간담회,,평이담백 뼈칼국수  성수점,소통담당관  직원 및 관계자 총 6명,"61,000",제로 페아,
13,7.  8.,전출입기자간담회,,하남돼지집 왕십리역점,소통담당관  직원 및 관계자 총 13명,"400,000",카드,
14,7.  11.,"성동포커스  제작  관계자
간담회",,"카페서울숲
성동구청점","직원 4,  관계자 5","50,000",제로 페이,
15,7.  11.,언론사  기자  현장  취재 지원,,한우와바다,소통담당관  직원 및 관계자 총 8명,"198,000",제로 페이,
16,7.  11.,언론사  기자  간담회,,대촌정,소통담당관  직원 및 관계자 총 10명,"250,000",제로 페이,
17,7.  11.,"성수복합테마공간  관련  홍보
간담회",,칸지고고,"소통담당관 직원
및 관계자 총4명","38,500",제로 페이,
18,7.  12.,사회적경제활성화기금  조성 관련  홍보 간담회,,다현목포낙지,소통담당관직원 및  관계자 총 5명,"50,000",제로 페이,
19,7.  12.,서울시 출입기자  간담회,,효창에프씨,"소통담당관  직원
및 관계자  총 10명","269,000",카드,
20,7.  12.,명예사회복지공무원  위촉 관련  홍보  간담회,,아쿠아덕,5,"92,300",카드,
연번,집행일,집행목적,,집행장소,집행대상(인원),집행금액,關,
21,7.  13.,언론사  기자단  간담회,,칸지고고,소통담당관  직원 및 관계자  총 5명,"91,000","제로
페이",
22,7.  13.,SNS  전자소통  활성화  관련 간담회,,동막골,담당자  둥  총  5명,"35,000","제로
페이",
23,7.  14.,"서울숲 캠핑장 개장 관련
언론사 기자 취재 지원",,나라구한닭 정통닭갈비,소통담당관  직원 및 관계자  총 6명,"69,000",제로 페이,
24,7.  15.,"중랑천음악방송  관계자
간담회",,봉평골메밀막국수,"직원  3,  관계자  3","72,000","제로
페이",
25,7.  18.,전출입기자 간담회,,한우와바다,소통담당관 직원 및 관계자 총 11명,"300,000","제로
페이",
26,7.  18.,언론사  기자  취재  지원,,"바리스터
코난&라나",소통담당관  직원 및 관계자 총 3명,"18,000",카드,
27,7.  19.,"언론사  기자  현장  취재
지원",,이디야  행당점,소통담당관  직원 및 관계자 총 3명,"9,600",카드,
28,7.  19.,"워킹스쿨버스노선
현장  취재  지원",,탐앤탐스 무학여고점,소통담당관직원 및 관계자 총 3명,"32,500",카드,
29,7.  19.,"언론사  기자  현장  취재
지원",,하동진,소통담당관  직원 및 관계자 총 4명,"56,000","제로
페이",
30,7.  20.,언론사  기자  현장  취재 지원,,삼청동샤브,소통담당관  직원 및 관계자 총 4명,"55,600","제로
페이",
31,7.  20.,언론사  인터뷰  관련  취재 지원,,정선부뚜막,소통담당관  직원 및 관계자 총 5명,"77,000",제로 페이,
32,7.  20.,"학부모분과  발대식
관련  홍보  간담회",,"카페서울숲  서울숲
복합문화체육센터점",소통담당관  직원 및 관계자 총 3명,"19,100",제로 페이,
33,7.  20.,서울시  출입기자 간담회,,뚝섬삼겹,소통담당관  직원 및 관계자 총 5명,"118,000",카드,
34,7.  21.,언론사  기자  간담회,,대촌정,소통담당관  직원 및 관계자  총 7명,"190,000",카드,
35,7.  22.,"임시선별진료소
재설치  현장  취재  지원",,스시존,소통담당관직원 및 관계자 총 4명,"40,000",제로 페이,
36,7.  22.,"도로  물청소
현장  취재  지원",,이땔리면옥&곱떡,소통담당관 직원 및 관계자  총 4명,"45,600",제로 페이,
37,7.  22.,서울시 출입기자 간담회,,본참치,소통담당관  직원 및 관계자  총 6명,"125,000",카드,
38,7.  25.,"양산  대여  서비스
현장  취재  지원",,끄트머리집,소통담당관  직원 및 관계자  총 5명,"80,000","제로
페이",
39,7.  26.,소식지  관련  회의,,"나라구한닭
정통닭갈비",담당자  등  총 4명,"46,000","제로
페이",
40,7.  28.,"SNS  전자소통  활성화  관련
간담회",,매란방,담당자  등  총 5명,"50,500",카드,
41,7.  29.,소식지  관련  회의,,"경성함바그&버거
스캔들",담당자  둥  총 5명,"42,700",제로 페이,
42,7.  29.,"개인정보  파쇄  서비스
취재  지원",,봉평메밀막국수,소통담당관직원 및 관계자 총 4명,"41,000","제로
페이",
