1,8.  1.,시설소개영상 제작관계자와  간담회,칸지고고,소통담당관  직원 및 관계자 총 4명,"46,500",카드,
2,8.  1.,,미그커피,,"16,900",,
3,8.  2.,언론사 취재 지원,금녕곰탕,소통담당관직원 및 관계자 총 3명,"29,000",제로 페이,
4,8.  3.,"SNS  전자소통  활성화
관련  간담회",쭈피랑,"소통담당관  직원
및 관계자 총 5명","59,000",제로 페이,
5,8.  3.,전출입기자  간담회,일일향,"소통담당관  직원
및 관계자 총 8명","160,000",제로 페이,
6,8.  4.,사회적경제  친화도시 제막식 관련 언론사 취재 지원,두꺼바식당,소통담당관직원 및 관계자  총 5명,"73,000",제로 페이,
7,8.  5.,유지보수  관계자와 간담회,카페서울숲,"소통담당관직원
및  관계자 총 8명","70,000",카드,
8,8.  5.,"소식지 관련
구민기자단간담회",매란방,"소통담당관  직원
및 관계자 총 8명","128,000",카드,
9,8.  5.,"성동포커스
제작관계자와  간담회",CU왕십리씨티점,"소통담당관직원
및 관계자 총 10명","80,900",카드,
10,8.  10.,"SNS  전자소통  활성화
간담회",브라운돈까스,"소통담당관  직원
및 관계자 총 4명","35,500",제로 페이,
11,8.  10.,주민총회  관련 현장  취재  지원,한우와바다,"소통담당관직원
및 관계자 총 6명","140,000",제로 페이,
12,8.  12.,소식지  관련 회의,에프터드링크버거,"소통담당관  직원
및 관계자 총 5명","69,500",제로 페이,
13,8.  16.,서울시 출입기자 간담회,광화문몽로,소통담당관  직원 및 관계자 총 6명,"156,000",제로 페이,
14,8.  17.,중계방송 진행 관계자와 간담회,동막골,소통담당관  직원 및 관계자 총 6명,"42,000",제로 페이,
15,8.  18.,"SNS  전자소통  활성화
간담회",한방닭한마리,"소통담당관직원
및 관계자 총 5명","59,000",제로 페이,
16,8.  18.,"삼표레미콘  성수공장  철거
관련  취재  지원","보경벌교참꼬막
전문점","소통담당관직원
및 관계자 총  4명","75,000",제로 페이,
17,8.  22.,:  공유컵  취재  관련  간담회,브라운돈까스,"소통담당관직원
및 관계자  총 4명","41,000",제로 페이,
18,8.  22.,상가  임대차  상담소 취재  간담회,싱싱오징어바다,담당자  등  총 3명,"75,000","제로
페이",
19,8.  23.,서울시  출입기자  간담회,양가,소통담당관  직원 및 관계자 총 7명,"166,000","제로
페이",
20,8.  24.,"유튜브  진행  관계자와
간담회","카페  서울숲
성동구청","소통담당관직원
및 관계자 총 10명","50,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
21,8.  24.,"유튜브 재제작 관계자와
간담회",칸지고고,"소통담당관직원
및 관계자 총 6명","72,000",제로 페이,
22,8.  24.,"통학로 빅데이터  구축
홍보간담회",인더매스,소통담당관직원 및 관계자 총 3명,"20,000",제로 페이,
23,8.  24.,"1인  가구  지원센터  개소식
취재  지원",커핀그루나루,소통담당관직원 및 관계자 총 4명,"43,000",카드,
24,8.  25.,소식지 관련 회의,채선당,소통담당관직원 및 관계자 총 6명,"86,000",제로 페이,
25,8.  25.,"고독사 위험가구  발굴
취재 지원",끄트머리집,소통담당관 직원 및 관계자 총 4명,"47,000",제로 페이,
"26
l",8.  26.,중랑천음악방송 제작관계자와  간담회,아리가또,소통담당관직원 및 관계자 총 6명,"15,000",제로 페이,
,,,짚신매운갈비찜,소통담당관직원 및 관계자 총 6명,"86,000",제로 페이,
28,8.  26.,"성동50플러스센터
취재  지원",옥이네,소통담당관직원 및 관계자 총 5명,"126,000","제로
페이",
29,8.  26.,"통학로  빅데이터  구축
홍보간담회",호호호닭발,소통담당관 직원 및 관계자 총 4명,"83,000",카드,
30,8.  29.,전출입기자  간담회,무교소호정,소통담당관직원 및 관계자 총 6명,"150,000",제로 페이,
31,8.  30.,공유센터  현장  취재  지원,담쟁이,소통담당관직원 및 관계자 총 3명,"24,000","제로
페이",
32,8.  31.,인터뷰  관련  취재  지원,"카페서울숲
성동구청점",소통담당관  직원 및 관계자 총 2명,"1,200","제로
페이",
