연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
1,10.  4.,안전통학로 조성  관련 기자    간담회,일품양평해장국,소통담당관 직원 및  관계자    총   5명,"45,000",제로 페이,
2,10.  4.,,카페서울숲,1,"4,700",,
3,10.  4.,"서울시      출입
기자    간담회",샘터가든,소통담당관 직원 및  관계자    총   8명,"207,000","제로
페이",
4,10.  4.,"스마트      안전통학로 조성
관련    간담회",짝태와노가리,"소통담당관 직원
및  관계자     총   4명","74,000",카드,
5,10.  4.,SNS  전자소통  활성화를 위한    간담회,매란방,소통담당관 직원 및  관계자    총   4명,"56,000",카드,
6,10.  5.,소식지      관련    회의,매란방,"소통담당관직원
및  관계자    총   5명","88,000",카드,
7,10.  5.,"수도시재생축제
홍보간담회",포메인,"소통담당관 직원
및 관계자총 4명","48,500","제로
페이",
8,10.  6.,"미디어보드 운영 관계자
간담회",래래,"소통담당관 직원
및  관계자    총   7명","100,000","제로
페이",
9,10.  6.,"IPTV  유지   보수     관계  자
간담회",여의,"소통담당관직원
및  관계자    총   6명","70,000","제로
페이",
10,10.  7.,서울시      출입기자 간담회,바닷가작은부엌 덕수궁점,"소통담당관 직원
및 관계자총 8명","188,000","제로
페이",
11,10.  7.,"SNS  콘텐츠      공모전      홍보
간담회",송가네주먹고기,"소통담당관직원
및   관계자     총   4명","90,000","제로
페이",
12,10.  11.,"태조    이성계     축제    관련
간담회",한양짱분식,"소통담당관직원
및  관계자    총4명","33,000",카드,
13,10.  11.,구정    홍보    정책    간담회,"광화문
라그랄리아","홍보정책  전문관
등  4인","107,500",카드,
14,10.  12.,"소셜벤쳐엑스포  관련
간담회",제주삼다돈,"소통담당관직원
및  관계자     총   5명","51,000","제로
페이",
15,10.  13.,"성수책마루  수상  관련
간담회",더팔당왕십리점,"소통담당관직원
및  관계자     총   4명","52,000","제로
페이",
16,10.  14.,"소셜벤쳐엑스포  현장 취재
지원","커피스미스
서울숲점","소통담당관직원
및 관계자총 3명","28,200",카드,
17,10.  17.,"전농천      재조성
취재    지원",두꺼비식당,"소통담당관 직원
및  관계자     총   5명","75,000","제로
페이",
18,10.  18.,"비보이페스티벌  홍보
간담회",춘향미엔,"소통담당관 직원
및  관계자    총   2명","16,000","제로
페이",
19,10.  18.,미디어보드 관계자간담회,카페서울숲,소통담당관 직원 및  관계자    총   11명,"50,000","제로
페이",
20,10.  18.,미디어보드  관계자간담회,남도집,"소통담당관 직원
및  관계자    총   7명","75,000","제로
페이",
21,10.  19.,대한민국  도시대상  수상 관련     간담회,양지촌,소통담당관 직원 및   관계자      총   5명,"43,CXX)","제로
페이",
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
22,10.  20.,소셜벤쳐  거마도  인터뷰 취재    지원,끄트머리집,소통담당관직원 및  관계자    총   3명,"33,900",제로 페이,
23,,,아리가또,1,"9,500",,
24,10.  20.,"SNS  전자소통  활성화
간담회",일품백송칼국수,"소통담당관직원
및  관계자    총   5명","48,000","제로
페이",
25,10.  21.,"인터넷방송국 유지보수
관계자    간담회",수현회집,"소통담당관 직원
및   관계자    총   6명","71,000","제로
페이",
26,10.  21.,"스마트      빗물받이  취재
지원",초장집  장안점,"소통담당관직원
및  관계자    총   4명","78,000",카드,
27,10.  21.,SNS  채널    활성화     간담회,곤스     Gorr'  s,"소통담당관직원
및   관계자    총   4명","32,000","제로
페이",
28,10.  22.,동별     마을축제  취재 지원,바르다김선생,소통담당관직원 및  관계자    총   2명,"10,700",카드,
29,10.  25.,SNS  채널    활성화     간담회,오캄,"소통담당관직원
및  관계자    총   5명","67,000","제로
페이",
30,10.  26.,"스마트빗물받이  취재
지원",이땔리면옥&곱떡,"소통담당관직원
및   관계자     총   2명","21,800","제로
페이",
31,10.  26.,서울시      출입기자 간담회,참치공방,"소통담당관직원
및  관계자    총   7명","180,000",카드,
32,10.  27.,"아파트      공동체      활성화
사업    홍보    간담회",일품양평해장국,"소통담당관직원
및  관계자    총   2명","18,000",카드,
33,10.  27.,청소년      축제    개최    관련 간담회,수현회집,"소통담당관 직원
및  관계자    총   3명","45,000","제로
페이",
34,10.  28.,서울시      출입기자  간담회,우도일식,"소통담당관직원
및  관계자    총   3명","51,000","제로
페이",
35,10.  28.,유튜브      제작    관계자 간담회,래래,소통담당관직원 및   관계자    총   7명,"93,000",카드,
36,10.  28.,"메타버스 ESG  대상    수상
홍보간담회","왕십리원조황소
곱창","소통담당관직원
및 관계자총 4명","70,000","제로
페이",
"37
38",10.  31.,"홀몸     어르신 도로명주소  스티커 배부
관련    간담회",홍수계찜닭,소통담당관직원 및 관계자총  4명,"45,800",제로 페이,
,10.  31.,,해누리카페,4,"12,000",,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
"l
l
2",11.  1.,재난상황 안내 홈페이지 구축홍보간담회,칸지고고,"소통담당관 직원
및  관계자    총  5명","36,000",제로 페이,
,11.  1.,,프로베하이츠커커리피  앤,5,"27,900",,
3,11.  1.,스마트도시 취재지원,금녕곰탕,"소통담당관직원
및  관계자     총   4명","63,000",카드,
4,11.  2.,미디어보드 관계자간담회,카페서울숲,"소통담당관직원
및  관계자     총   10명","50,000","제로
페이",
5,11.  2.,미디어보드 관계자간담회,부대스토리,"소통담당관 직원
및  관계자     총   7명","76,000","제로
페이",
6,11.  4.,"SNS  전자소통 활성화
간담회","미도인
왕십리역사점","소통담당관직원
및 관계자 총  5명","50,800",카드,
7,11.  7.,"중랑천     음악방송 관계자와
간담회",굴마을낙지촌,"소통담당관 직원
및  관계자     총   6명","90,000",제로 페이,
8,11.  8.,"버스정류장 스마트  냉온열
의자    확대   설치    홍보    간담회",부대스토리,"소통담당관직원
및  관계자     총   5명","50,000","제로
페이",
9,11.  8.,"생명안전배움터 안전교육
취재    지원",송가네 주먹고기,"소통담당관 직원
및  관계자     총   4명","91,000","제로
페이",
10,11.  9.,스마트도시 관련 취재 지원,남도집,"소통담당관직원
및  관계자     총   3명","42,000","제로
페이",
11,11.  9.,"교통불편지점  현장점검 관련
간담회",포르시따,"소통담당관직원
및  관계자     총   4명","81,900","제로
페이",
12,11.  10.,서울시     출입기자간담회,더테이불한정식,"소통담당관직원
및  관계자     총   6명","140,000","제로
폐이",
13,11.  10.,성동구     단풍길     홍보    간담회,오븐에     빠진   닭,"소통담당관 직원
및  관계자     총4명","56,500","제로
페이",
14,11.  10.,"용답역     디자인월 점등식
취재    지원",미도인  왕십리역사,"소통담당관직원
및  관계자     총   4명","59,900",카드,
15,11.  11.,"청소년     의제   발굴    토론회
관련간담회",한양짱분식,"소통담당관직원
및 관계자총  3명","20,000",카드,
16,11.  11.,"방송국     유지보수 관계자와
간담회",자금성,"소통담당관직원
및  관계자     총   6명","83,000","제로
페이",
17,11.  14.,용답역     철길    옹벽    새단장 홍보간담회,"꼬치있어
좋은날","소통담당관직원
및 관계자총 4명","89,000","제로
페이",
18,11.  14.,봉제업체 언론사  취재 지원,이디야커피,"소통담당관직원
및 관계자총  4명","14,500",제로 페이,
19,11. 14.,,하이포크생삼겹,,"22,000",,
20,11.  14.,전출입기자간담회,대원참숯구O],"소통담당관직원
및  관계자     총   7명","151,000",카드,
21,11.  15.,생명안전배움터 취재 지원,다현목포낙지,"소통담당관 직원
및  관계자     총   3명","25,000","제로
페이",
22,11.  15.,소식지     관련   회의,"포메인레드
왕십리점","소통담당관 직원
및 관계자 총  6명","60,000",카드,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
23,11.  16.,"미디어보드 운영 관계자와
간담회","카페서울숲성동구-
청점","소통담당관직원
및  관계자    총   9명","50,000",제로 페이,
24,11.  16.,직원    대상   심폐소생술 교육 취재   지원,자금성,"홍보정책 전문관
등4인","47,000",제로 페이,
25,11.  17.,"안심거울 설치사업 관련
간담회",어메이 왕십리점,"소통담당관직원
및  관계자    총   6명","71,700","제로
페이",
26,11.  18.,서울시     출입기자 간담회,한우고집,"소통담당관직원
및  관계자     총  10명","275,100","제로
페이",
27,11.  18.,소식지     편집   회의,자금성,"소통담당관직원
및  관계자    총   5명","47,000",제로 페이,
28,11.  18.,회의    참석자용생수구매,턴이코플러스,"소통담당관직원
및  관계자     총   20명","28,800","제로
페이",
29,11.  21.,"음악방송제작관계자와
간담회","미도인
왕십리역사점곱창","소통담당관직원
및 관계자 총  6명","70,500",카드,
30,11.  23.,"주민참여형 도시계획 홍보
간담회","프롬하츠 커피앤
베이커리","소통담당관직원
및 관계자 총  4명","17,200","제로
페이",
31,11.  24.,"꿈의    오케스트라 정기연주회
홍보간담회",줄라이멧톰,"소통담당관직원
및 관계자총 3명","40,400","제로
페이",
32,11.  24.,아웃백     왕십리역사점,"아웃백
왕십리역사점","소통담당관 직원
및 관계자 총  5명","134,100",카드,
33,11.  25.,서울시     출입기자 간담회,최전방부대찌개,"소통담당관직원
및  관계자총4명","67,000",카드,
