2022년 1월  업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,  (단위 : 원),,
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,언론팀장,2022-01-03,12:33:29,우리네코다리,신년 인사회 관련 기자 간담회,4인,"48,000 ",신용카드,시책
2,언론팀장,2022-01-04,12:37:17,등촌샤브칼국수,자녀안심 그린 숲 사업 홍보 관련 간담회,4인,"52,000 ",신용카드,시책
3,담당자,2022-01-04,12:26:00,스시범,보도자료 작성 등 노고 직원 격려,4인,"72,000 ",신용카드,시책
4,언론팀장,2022-01-06,12:25:05,히노야마,서울형 주택바우처 대상 발굴 사업 홍보 관련 간담회,4인,"81,500 ",신용카드,시책
5,담당자,2022-01-06,12:12:45,들깨이야기,구정 홍보 촬영 등 노고 직원 격려,4인,"35,500 ",신용카드,시책
6,담당자,2022-01-07,12:06:52,육대장양천구청점,자녀안심 그린 숲 사업 홍보 관련 간담회,3인,"36,000 ",신용카드,시책
7,언론팀장,2022-01-11,12:17:27,해까득　목동점,불법광고물 자동경고 발신시스템 사업 홍보 관련 간담회,3인,"27,000 ",신용카드,시책
8,언론팀장,2022-01-20,12:39:47,장성,구청출입기자 간담회 개최,6인,"166,000 ",신용카드,시책
9,언론팀장,2022-01-20,20:47:31,백락,안양천 산책로 야간조명 설치 홍보 관련 간담회,6인,"119,000 ",신용카드,시책
10,언론팀장,2022-01-21,12:16:56,마실,구정 주요 핵심 사업 홍보 관련 간담회 개최,6인,"107,400 ",신용카드,시책
11,담당자,2022-01-25,11:53:02,（주）이마트트레이더,양천디지털미디어센터 출연자용 간식 다과,다과류,"92,220 ",신용카드,시책
12,담당자,2022-01-25,20:16:37,영산강　민물장어,장애인 전동보장구 보험 가입 홍보 관련 기자 간담회,6인,"160,000 ",신용카드,시책
13,언론팀장,2022-01-27,12:16:31,용호동낙지　상암점,신년인터뷰 촬영 관계자 간담회,5인,"52,000 ",신용카드,시책
14,담당자,2022-01-27,14:55:25,ＳＳＧ．ＣＯＭ,구정홍보실 운영 다과류 구입,다과류,"89,060 ",신용카드,기관
15,담당자,2022-01-28,12:29:10,선식당　목동점,공동주택관리 현장컨설팅 관련 기자 간담회,6인,"135,200 ",신용카드,시책
16,담당자,2022-01-07,11:56:33,소담,양천디지털미디어센터 운영 관련 간담회,4인,"100,000 ",제로페이,시책
17,담당자,2022-01-14,12:07:21,은행나무집,양천디지털미디어센터 운영 관련 간담회,4인,"72,000 ",제로페이,시책
18,담당자,2022-01-24,12:20:19,대복,구정 주요 핵심 사업 홍보 관련 간담회 개최,6인,"123,000 ",제로페이,시책
19,담당자,2022-01-26,12:50:36,억조1978,미디어방송 운영 관련 업무 협의 간담회,5인,"101,000 ",제로페이,시책
20,담당자,2022-01-26,11:38:05,마싯는끼니 목동직영점,구정 홍보영상 제작 관련 간담회,4인,"47,000 ",제로페이,시책
