2022년 3월  업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,언론팀장,2022-03-02,13:16:01,승아식당,이웃과 함께하는 장독대 사업 인터뷰 관계자 간담회,4인,"45,000 ",법인카드,시책
2,홍보과장,2022-03-04,20:48:35,골목길　삼겹살,코로나 전담 통합콜센터 운영 홍보 기자간담회,6인,"133,000 ",법인카드,시책
3,담당자,2022-03-04,20:57:14,육감만족 양천구청점,양천TV 영상크리에이터 관련 간담회,6인,"74,000 ",제로페이,시책
4,언론팀장,2022-03-07,12:29:58,우리네코다리,산지형 공원 기본계획 수립 관련 기자간담회,5인,"80,000 ",법인카드,시책
5,언론팀장,2022-03-08,12:33:44,린궁즈,갈산문화예술센터 개관 홍보 기자간담회,4인,"72,000 ",법인카드,시책
6,담당자,2022-03-10,18:24:25,ＳＳＧ．ＣＯＭ,구정홍보실 운영 및 내방객 접대용 다과 구입,다과,"90,660 ",법인카드,시책
7,담당자,2022-03-11,10:42:33,（주）이마트목동점,양천디지털미디어센터 출연자용 다과 구입,다과,"99,840 ",법인카드,시책
8,담당자,2022-03-11,17:16:07,지에스　더　프레시,구정홍보 촬영 및 취재 지원 등 노고 직원 격려,다과,"119,800 ",법인카드,시책
9,언론팀장,2022-03-11,12:02:45,소담,착한 임대인 지원 사업 홍보 기자간담회,6인,"48,000 ",법인카드,시책
10,담당자,2022-03-11,21:51:37,소풍화로,2022년 비전 및 추진사업 홍보 인터뷰 관계자 간담회,6인,"180,000 ",제로페이,시책
11,언론팀장,2022-03-14,12:30:33,해미가,미취업청년 취업장려금 지원 등 홍보 기자간담회,5인,"96,000 ",법인카드,시책
12,담당자,2022-03-15,13:35:37,ＳＳＧ．ＣＯＭ,구정홍보실 운영 및 내방객 접대용 다과 구입,다과,"97,260 ",법인카드,시책
13,담당자,2022-03-17,12:09:33,자연드림　신정점／（,소식지 편집위원회 개최를 위한 다과 구입,다과,"25,200 ",법인카드,시책
14,담당자,2022-03-17,12:43:39,김가네（양천구청점）,2022년 봄호 시니어플러스 제작 관련 기획회의,6인,"80,000 ",법인카드,시책
15,언론팀장,2022-03-17,12:02:07,왕뼈감자탕고척점,엘지헬로비전 정책브리핑 촬영 관계자 간담회,4인,"32,000 ",법인카드,시책
16,홍보과장,2022-03-18,12:37:03,해미가,비체나라 페스티벌 공모 사진전 홍보 기자간담회,4인,"41,000 ",법인카드,시책
17,언론팀장,2022-03-21,12:18:48,조선화로구이,청년점포 육성 사업 등 구정홍보 기자간담회,5인,"75,000 ",법인카드,시책
18,담당자,2022-03-22,12:23:37,킹콩부대찌개양천구청,제18기 꿈나무 기자단 모집 업무 관계자 간담회,3인,"53,000 ",법인카드,시책
19,담당자,2022-03-22,12:31:11,오르리단팥빵,소식지 편집 및 발행 업무 노고 직원 격려,4인,"24,500 ",법인카드,기관
20,언론팀장,2022-03-23,22:25:49,교담길,주요 추진 사업 및 비전 홍보 인터뷰 관계자 간담회,8인,"214,500 ",법인카드,시책
21,담당자,2022-03-23,12:33:46,목동닭한마리칼국수,양천TV 기획영상 촬영 관련 간담회,8인,"110,000 ",제로페이,시책
22,홍보과장,2022-03-25,12:21:49,선식당　목동점,화중지남 사업 홍보 등 기자간담회,6인,"103,600 ",법인카드,시책
23,담당자,2022-03-25,12:27:16,쿠스치노커피,양천구소식지 편집위원회 정례회의 관련 다과비,다과,"40,000 ",제로페이,시책
24,언론팀장,2022-03-29,13:04:40,동해일식,프랑스 파리 17구 자매결연 협약 체결 홍보 기자간담회,8인,"218,000 ",법인카드,시책
25,담당자,2022-03-29,17:42:27,ＳＳＧ．ＣＯＭ,구정홍보실 운영 및 내방객 접대용 다과 구입,다과,"90,460 ",법인카드,시책
26,담당자,2022-03-29,13:44:55,분식이더치킨양천구청점,미디어방송 운영 관련 업무 협의,6인,"39,000 ",제로페이,시책
27,언론팀장,2022-03-30,12:22:53,육대장양천구청점,신정네거리 공영주차장 준공 홍보 기자간담회,4인,"36,000 ",법인카드,시책
28,언론팀장,2022-03-31,12:17:45,억조１９７８,사랑의 재활용품 나눔 캠페인 등 구정홍보 기자간담회,5인,"100,000 ",법인카드,시책
29,언론팀장,2022-03-31,20:53:21,금정,매니페스토 공약이행평가 등 구정홍보 기자간담회,8인,"212,000 ",법인카드,시책
30,담당자,2022-03-31,12:09:50,스시범,홈페이지 관련 업무관계자 간담회,5인,"76,000 ",제로페이,시책
