2022년 11월 홍보과 업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,담당자,2022-11-04,12:18:46,킹콩부대찌개양천구청,겨울 강풍 대비 첨탑 안전점검 등 구정 홍보를 위한 간담회,4,"46,000 ",법인카드,시책추진업무추진비
2,담당자,2022-11-07,12:47:02,우리네코다리,목동운동장 주경기장 육상트랙 무료개방 등 구정 홍보를 위한 간담회,8,"111,000 ",법인카드,시책추진업무추진비
3,담당자,2022-11-08,12:42:44,호정,보행길 안전사고 예방을 위한 주인 없는 간판 정비 등 구정 홍보를 위한 간담회,12,"260,000 ",법인카드,시책추진업무추진비
4,담당자,2022-11-10,15:48:20,까페위드,구정 홍보실 비치용 원두커피 구입,다과류,"20,000 ",법인카드,시책추진업무추진비
5,담당자,2022-11-10,19:05:40,낙지와볼테기,2023년 양천 교육지원 사업 설명회 개최 등 구정 홍보를 위한 간담회,4,"40,000 ",법인카드,시책추진업무추진비
6,담당자,2022-11-11,12:09:59,두부골,양천디지털미디어센터 시설 유지관리 등 운영 관련 업무협의 간담회,5,"43,000 ",제로페이,시책추진업무추진비
7,담당자,2022-11-14,12:28:28,에스에이치푸드,중소기업육성기금 융자원금 상환만기 연장 등 구정 홍보를 위한 간담회,5,"97,500 ",법인카드,시책추진업무추진비
8,담당자,2022-11-14,12:32:57,우리네코다리,올바른 훈육법 공유를 위한 부모교육 개최 등 구정 홍보를 위한 간담회,8,"111,000 ",법인카드,시책추진업무추진비
9,담당자,2022-11-14,14:52:47,（주）이마트목동점,양천디지털미디어센터 영상 출연자 간식용 다과 구입,다과류,"97,230 ",법인카드,시책추진업무추진비
10,담당자,2022-11-15,12:29:40,스타벅스　코리아,2022년 홍보아카데미 추진 관계자와 간담회,15,"100,000 ",법인카드,시책추진업무추진비
11,담당자,2022-11-15,19:10:36,１４일의　설레임,아랫말어린이공원 입체놀이공간 재조성 사업 등 구정 홍보를 위한 간담회,7,"155,000 ",법인카드,시책추진업무추진비
12,담당자,2022-11-16,12:21:27,양천구청,홍보아카데미 개최 물품(생수) 구입,음료,"92,000 ",법인카드,시책추진업무추진비
13,담당자,2022-11-16,18:44:28,명륜진사갈비,양천TV 기획영상 제작 관련 간담회비,10,"231,000 ",법인카드,시책추진업무추진비
14,담당자,2022-11-16,19:51:22,배꼽집,주요 구정운영 및 현안사항 홍보를 위한 인터뷰 추진 관계자와 간담회,10,"239,000 ",법인카드,시책추진업무추진비
15,담당자,2022-11-17,20:22:56,축산이야기,신규사업 발굴 및 업무개선 지원을 위한 간담회,10,"200,000 ",제로페이,시책추진업무추진비
16,담당자,2022-11-18,12:42:46,오성아구뽈찜,2022 하반기 방송운영위원회 등 주요현안업무 추진 관련 간담회,8,"94,000 ",제로페이,시책추진업무추진비
17,담당자,2022-11-22,14:13:14,GS25 목동라벨라점,제안서 평가위원회 다과비,다과류,"44,600 ",제로페이,시책추진업무추진비
18,담당자,2022-11-22,21:17:03,소풍화로,양천디지털미디어센터 운영 관련 간담회비 지출,10,"220,000 ",제로페이,시책추진업무추진비
19,담당자,2022-11-23,20:31:32,명륜진사갈비,홈페이지 개선 및 유지관리 업무 관련 간담회,10,"209,500 ",법인카드,시책추진업무추진비
20,담당자,2022-11-24,12:46:11,대복,서울시 최초 안양천 일대 디지털트윈 행정서비스 모델 구축 등 구정 홍보를 위한 간담회,7,"112,000 ",법인카드,시책추진업무추진비
21,담당자,2022-11-24,21:16:16,둥근바다,승용차 마일리지 신규가입 2년 연속 서울시 최우수구 선정 등 구정 홍보를 위한 간담회,10,"221,000 ",법인카드,시책추진업무추진비
22,담당자,2022-11-28,12:39:39,구이구이,한파 대비 온열의자 및 온기충전소 본격 가동 등 구정 홍보를 위한 간담회,8,"184,600 ",법인카드,시책추진업무추진비
23,담당자,2022-11-28,20:03:22,순이네쌈밥,목동아파트 주변 노후 녹지시설 재정비 등 구정 홍보를 위한 간담회,4,"44,000 ",법인카드,시책추진업무추진비
24,담당자,2022-11-29,13:34:46,（주）용형호제 락희안,제2회 양천 비체나라 페스티벌 개최 등 구정 홍보를 위한 간담회,6,"134,000 ",법인카드,시책추진업무추진비
25,담당자,2022-11-29,21:53:40,동아골뱅이,제2회 양천비체나라 페스티벌’ 개최 등 구정 홍보를 위한 간담회,10,"174,000 ",제로페이,시책추진업무추진비
26,담당자,2022-11-30,10:32:52,경복궁도시락온（주）,이홍렬의 찐토크 촬영용 도시락 구입,5,"95,000 ",법인카드,시책추진업무추진비
27,담당자,2022-11-30,12:30:18,섬어부밥상,구정 홍보 영상물 제작 관련 업무협의 간담회,7,"136,000 ",제로페이,시책추진업무추진비
28,담당자,2022-11-30,12:48:38,복사꽃피는집／（주）,낙엽철 강우 대비 도로 침수예방 관리시스템 마련 등 구정 홍보를 위한 간담회,7,"102,300 ",법인카드,시책추진업무추진비
29,담당자,2022-11-30,21:03:12,소풍화로,대입 정시 지원 족집게 상담 서비스 운영 등 구정 홍보를 위한 간담회,8,"126,000 ",법인카드,시책추진업무추진비
