일시,장소,금액(원),"대상
인원"
1월,무진장,"16,200",4
1월,댓잎갈비,"30,000",3
1월,단풍나무 이태원점,"60,840",4
1월,"행복플러스가게
꿈앤카페","15,100",4
1월,아서원,"68,000",4
1월,"주식회사 명동교자
(이태원지점)","36,000",4
1월,카페다디오,"40,000",4
1월,이디야커피삼각지역점,"9,600",3
1월,댓잎갈비,"40,000",4
1월,카페로찌,"12,000",3
1월,용산장어마을,"54,000",4
1월,다채 동빙고점,"72,000",4
1월,마린씨,"64,000",4
1월,(주)왕타이,"69,000",3
1월,"행복플러스가게
꿈앤카페","17,000","9
(테이크아웃)"
1월,카페다디오,"20,520","7
(테이크아웃)"
1월,"주식회사 명동교자
(이태원지점)","27,000",3
1월,고인돌,"72,000",4
1월,이태원곰탕,"52,000",4
1월,와이팟커피,"27,000",4
1월,유진본가,"65,000",6
1월,(주)왕타이,"68,000",3
1월,마녀찜닭,"37,500",4
1월,다채 동빙고점,"72,000",4
1월,구름식탁,"55,600",4
1월,아서원,"47,000",4
2월,아서원,"44,000",4
2월,댓잎갈비,"40,000",4
2월,스타벅스,"18,500",3
2월,원조보리밥수제비,"45,000",5
2월,리지트커피,"17,000",5
2월,카페다디오,"50,000",6
2월,투원투,"75,600",4
2월,남도마루,"75,000",4
2월,발루토 피비,"13,800",4
2월,원할머니보쌈 남영점,"44,500",4
2월,댓잎갈비,"40,000",4
2월,다채 동빙고점,"67,000",4
2월,발루토 피비,"21,000",5
2월,리지트커피,"33,500",6
2월,옛날국시,"30,000",3
2월,"단풍코리아유한회사
단풍나무 이태원점","60,840",6
2월,마린씨,"64,000",4
2월,부다스벨리,"101,200",6
2월,아서원,"37,000",4
2월,러블리숑숑,"50,000",4
2월,감나무집,"45,000",3
2월,이디야 커피,"9,600",3
2월,스타벅스,"9,000",2
2월,원할머니보쌈 남영점,"73,500",6
2월,맥도날드이태원점,"39,300",6
3월,맘스터치삼각지역점,"30,100",4
3월,서지,"16,000",4
3월,리지트커피,"16,000",4
3월,이태원곰탕,"32,000",3
3월,본도시락 한남점,"59,500",4
3월,스타벅스,"10,100",2
3월,발루토 피비,"16,300",4
3월,본도시락 한남점,"47,700",4
3월,본도시락 한남점,"54,100",4
3월,리지트커피,"16,000",4
3월,본도시락 한남점,"64,500",4
3월,발루토 피비,"16,800",4
3월,댓잎갈비,"20,000",2
3월,황토마당,"141,000",5
3월,본도시락,"82,800",4
3월,마린씨,"72,000",4
3월,마린씨,"48,000",3
3월,발루토 피비,"13,100",3
3월,복지매점 현주상사,"98,000",3
3월,이태원곰탕,"83,000",4
3월,본도시락 한남점,"65,700",4
3월,명동교자(이태원지점),"61,000",5
3월,단풍나무 이태원점,"87,660",7
3월,원조보리밥수제비,"45,000",5
3월,이태원숯불구이,"48,000",6
3월,부다스벨리,"99,000",4
4월,명동교자(이태원지점),"30,000",3
4월,(주)왕타이,"78,000",4
4월,화양연가,"129,000",5
4월,남산한우,"84,000",7
4월,스타벅스,"21,000",4
4월,아톤브루어리,"68,000",4
